Year,DormID,larv_orig,dorm_loc,N.emerged,N.init,Notes
2013,3,P,T,4,5,
2013,4,P,T,4,5,
2013,8,P,P,3,5,
2013,9,T,T,4,5,
2013,10,T,T,3,5,
2013,12,P,T,4,5,
2013,14,T,T,4,5,
2013,15,T,P,3,5,
2013,16,P,P,1,5,
2013,18,P,P,3,5,
2013,21,P,T,2,5,
2013,23,P,P,3,5,
2013,24,P,T,4,5,
2013,25,P,T,3,5,
2013,27,T,T,5,5,
2013,29,T,P,2,5,
2013,30,T,P,4,5,
2013,31,P,T,5,5,
2013,32,P,P,4,5,
2013,33,P,P,4,5,
2013,36,P,T,5,5,
2013,37,P,P,4,5,
2013,40,P,T,4,5,
2013,41,P,P,5,5,
2013,43,T,P,2,5,
2013,46,P,T,5,5,
2013,47,P,P,4,5,
2013,48,P,P,3,5,
2012,1,T,T,3,4,
2012,2,T,P,2,4,
2012,3,T,P,2,4,
2012,5,T,P,1,4,
2012,6,T,P,2,4,
2012,7,T,P,1,4,
2012,8,T,P,1,4,
2012,9,T,P,2,4,
2012,10,T,T,1,4,host depleted; DROP
2012,13,T,P,4,4,
2012,14,T,P,1,4,
2012,15,T,T,2,4,
2012,16,T,P,2,4,
2012,18,T,T,3,4,
2012,19,T,T,1,4,
2012,20,T,T,4,4,
2012,21,T,T,3,4,
2012,22,T,T,3,4,
2012,23,T,P,1,4,
2012,24,T,T,1,4,
2012,11,T,P,0,4,
2012,12,T,T,0,4,
2012,4,T,T,0,4,host depleted; DROP
2012,17,T,T,0,4,
