"Date","Species","Area","meanITD"
1900,"B.hortorum","Belgium",5.42
1901,"B.pratorum","England",5.27333333333333
1902,"B.hortorum","England",5.42333333333333
1903,"B.hortorum","England",5.37
1903,"B.lapidarius","England",5.75666666666667
1906,"B.hortorum","England",5.4325
1906,"B.lapidarius","England",5.7575
1910,"B.pascuorum","Austria",5.14
1910,"B.pratorum","England",5.37875
1911,"B.lapidarius","Austria",6.33666666666667
1911,"B.pascuorum","Austria",5.25
1911,"B.pratorum","Austria",5.195
1912,"B.lapidarius","Austria",6.15
1912,"B.lapidarius","England",5.82666666666667
1912,"B.pascuorum","Austria",5.19
1913,"B.hortorum","England",5.67333333333333
1913,"B.lapidarius","Belgium",6.099
1913,"B.pascuorum","Belgium",5.015
1913,"B.pratorum","Belgium",5.16
1913,"B.pratorum","England",5.28666666666667
1914,"B.hortorum","Belgium",5.79
1914,"B.lapidarius","Belgium",6.22133333333333
1914,"B.lapidarius","England",5.62333333333333
1914,"B.pascuorum","Austria",5.2
1914,"B.pascuorum","Belgium",4.978
1914,"B.pascuorum","England",5.21
1914,"B.pratorum","Belgium",5.224
1915,"B.hortorum","Belgium",5.77444444444444
1915,"B.hortorum","England",5.44333333333333
1915,"B.lapidarius","Austria",6.34
1915,"B.lapidarius","Belgium",6.02666666666667
1915,"B.pascuorum","Belgium",4.954
1915,"B.pascuorum","England",5.1425
1915,"B.pratorum","Austria",5.2
1915,"B.pratorum","Belgium",5.424
1916,"B.hortorum","Belgium",5.51083333333333
1916,"B.lapidarius","Belgium",6.13
1916,"B.pascuorum","Austria",5.42
1916,"B.pascuorum","Belgium",5.088
1916,"B.pratorum","Belgium",4.92
1916,"B.pratorum","England",5.43666666666667
1917,"B.hortorum","Belgium",5.21333333333333
1917,"B.lapidarius","Belgium",6.01125
1917,"B.pascuorum","Belgium",4.834
1917,"B.pratorum","Belgium",5.202
1917,"B.pratorum","England",5.41
1918,"B.hortorum","Belgium",5.64142857142857
1918,"B.lapidarius","Austria",6.44
1918,"B.lapidarius","Belgium",6.04
1918,"B.pascuorum","Belgium",4.924
1918,"B.pascuorum","England",5.18333333333333
1919,"B.hortorum","Belgium",5.744
1919,"B.hortorum","England",5.26428571428571
1919,"B.lapidarius","Belgium",6.15111111111111
1919,"B.lapidarius","England",5.95857142857143
1919,"B.pascuorum","Austria",5.125
1919,"B.pascuorum","Belgium",5.088
1919,"B.pratorum","England",5.43666666666667
1920,"B.hortorum","Belgium",5.93875
1920,"B.lapidarius","Austria",6.20333333333333
1920,"B.lapidarius","Belgium",5.96090909090909
1920,"B.lapidarius","England",5.88666666666667
1920,"B.pascuorum","Belgium",5.094
1920,"B.pascuorum","England",5.08333333333333
1920,"B.pratorum","Belgium",5.2975
1921,"B.hortorum","Belgium",5.4325
1921,"B.hortorum","England",5.40333333333333
1921,"B.lapidarius","Austria",5.895
1921,"B.lapidarius","England",5.976
1921,"B.pascuorum","Austria",5.01
1921,"B.pascuorum","Belgium",5.122
1921,"B.pascuorum","England",5.23
1921,"B.pratorum","Belgium",5.16875
1921,"B.pratorum","England",5.44666666666667
1922,"B.hortorum","England",5.51
1922,"B.lapidarius","England",5.94555555555556
1922,"B.pascuorum","Belgium",4.98666666666667
1922,"B.pascuorum","England",5.22666666666667
1922,"B.pratorum","Austria",5.27666666666667
1922,"B.pratorum","England",5.45
1923,"B.hortorum","Belgium",5.72
1923,"B.lapidarius","Belgium",6.255
1923,"B.pascuorum","Belgium",4.85
1923,"B.pascuorum","England",5.17727272727273
1923,"B.pratorum","England",5.37
1924,"B.hortorum","England",5.52333333333333
1924,"B.lapidarius","Austria",6.38
1924,"B.lapidarius","England",6.05333333333333
1924,"B.pascuorum","Austria",5.12
1924,"B.pascuorum","Belgium",4.975
1924,"B.pascuorum","England",5.225
1924,"B.pratorum","Austria",5.135
1924,"B.pratorum","England",5.37
1925,"B.hortorum","Austria",5.90333333333333
1925,"B.hortorum","Belgium",5.7025
1925,"B.lapidarius","Belgium",6.43
1925,"B.pascuorum","Belgium",5.085
1925,"B.pratorum","Belgium",5.25714285714286
1926,"B.hortorum","Austria",5.93
1926,"B.hortorum","Belgium",5.665
1926,"B.lapidarius","Austria",6.24
1926,"B.pascuorum","Austria",5.098
1926,"B.pascuorum","Belgium",5.01
1927,"B.hortorum","Austria",5.9
1927,"B.hortorum","England",5.53666666666667
1927,"B.pascuorum","Austria",5.13666666666667
1927,"B.pascuorum","Belgium",5.295
1927,"B.pratorum","Austria",5.27333333333333
1928,"B.hortorum","Austria",6.01
1928,"B.lapidarius","Austria",6.29714285714286
1928,"B.pascuorum","Austria",5.1825
1928,"B.pratorum","Austria",5.1475
1928,"B.pratorum","Belgium",5.292
1929,"B.hortorum","England",5.51666666666667
1929,"B.lapidarius","England",5.94
1929,"B.pascuorum","Austria",5.175
1929,"B.pascuorum","England",5.13666666666667
1929,"B.pratorum","England",5.36666666666667
1930,"B.hortorum","Austria",5.70333333333333
1930,"B.lapidarius","Austria",6.25333333333333
1930,"B.lapidarius","England",6.02333333333333
1930,"B.pascuorum","Austria",5.36333333333333
1930,"B.pascuorum","Belgium",5.21666666666667
1931,"B.hortorum","England",5.52333333333333
1931,"B.pratorum","England",5.54666666666667
1932,"B.hortorum","Austria",5.72666666666667
1932,"B.pascuorum","Austria",5.13333333333333
1932,"B.pratorum","Belgium",5.48666666666667
1933,"B.pascuorum","Austria",5.37
1933,"B.pratorum","Austria",5.24333333333333
1934,"B.hortorum","England",5.38
1934,"B.lapidarius","Austria",6.3925
1934,"B.lapidarius","England",5.96333333333333
1934,"B.pascuorum","Belgium",4.56666666666667
1934,"B.pascuorum","England",5.16666666666667
1935,"B.hortorum","Austria",5.984
1935,"B.lapidarius","Austria",6.33416666666667
1935,"B.pascuorum","Austria",5.073
1935,"B.pascuorum","England",5.16666666666667
1935,"B.pratorum","Austria",5.13
1935,"B.pratorum","England",5.39666666666667
1936,"B.hortorum","Austria",5.88333333333333
1936,"B.hortorum","England",5.67
1936,"B.lapidarius","Austria",6.246
1936,"B.lapidarius","England",6.08333333333333
1936,"B.pascuorum","Austria",5.248
1936,"B.pascuorum","Belgium",4.8325
1937,"B.hortorum","England",5.46
1937,"B.lapidarius","Austria",6.224
1937,"B.pascuorum","Austria",5.1325
1937,"B.pascuorum","Belgium",5.23
1937,"B.pratorum","Belgium",5.335
1938,"B.hortorum","Austria",5.75333333333333
1938,"B.hortorum","England",5.5775
1938,"B.lapidarius","Austria",6.422
1938,"B.lapidarius","England",5.81333333333333
1938,"B.pascuorum","Austria",5.17444444444444
1938,"B.pascuorum","England",5.16666666666667
1938,"B.pratorum","Belgium",5.35
1939,"B.hortorum","Austria",6.06
1939,"B.lapidarius","Austria",6.62
1939,"B.pascuorum","Belgium",4.8
1939,"B.pratorum","Austria",5.23
1940,"B.hortorum","England",5.49333333333333
1940,"B.lapidarius","England",6.036
1940,"B.pascuorum","England",5.25333333333333
1941,"B.hortorum","England",5.49333333333333
1941,"B.lapidarius","Austria",6.15333333333333
1941,"B.lapidarius","England",5.685
1941,"B.pascuorum","Austria",5.1925
1941,"B.pascuorum","Belgium",5.22
1941,"B.pascuorum","England",5.24333333333333
1941,"B.pratorum","Belgium",5.65
1941,"B.pratorum","England",5.4
1942,"B.lapidarius","Austria",6.325
1942,"B.lapidarius","England",5.73666666666667
1942,"B.pascuorum","Belgium",4.87
1942,"B.pascuorum","England",5.15
1942,"B.pratorum","Austria",5.08166666666667
1942,"B.pratorum","Belgium",5.454
1943,"B.hortorum","Austria",5.84333333333333
1943,"B.hortorum","England",5.68142857142857
1943,"B.lapidarius","Austria",6.21857142857143
1943,"B.lapidarius","England",5.92142857142857
1943,"B.pascuorum","Austria",5.32333333333333
1943,"B.pascuorum","Belgium",5.14
1943,"B.pascuorum","England",5.23333333333333
1943,"B.pratorum","Belgium",5.336
1944,"B.hortorum","Austria",6.02666666666667
1944,"B.hortorum","England",5.61
1944,"B.lapidarius","Austria",6.358
1944,"B.pascuorum","Austria",5.168
1944,"B.pascuorum","Belgium",5.42
