year,tree,branch,treatment,num.filled,num.empty,num.grub,num.wrinkle,num.small,num.moldy,num.exit,num.missing,total.seed,mast.index
2012,HF1,A,control,2,3,1,0,0,0,0,2,6,0.05
2012,HF1,B,control,1,5,1,0,0,0,0,1,7,0.05
2012,HF1,C,control,1,2,0,0,0,0,0,1,3,0.05
2012,HF1,C,control,3,8,6,0,0,0,0,1,17,0.05
2012,HF4,A,exclusion,0,8,0,0,0,0,0,0,8,0.05
2012,HF4,A,control,0,4,4,0,0,0,0,0,8,0.05
2012,HF4,A,control,0,4,4,0,0,0,0,0,8,0.05
2012,HF4,A,exclusion,0,2,0,0,0,0,0,0,2,0.05
2012,HF4,B,control,3,6,5,0,0,0,0,0,14,0.05
2012,HF4,C,control,2,6,4,1,0,0,0,1,13,0.05
2012,HF4,C,control,1,12,9,0,0,2,0,1,24,0.05
2012,HF4,C,exclusion,0,9,3,1,2,0,0,0,15,0.05
2013,HF18,A,control,4,5,1,NA,NA,NA,NA,NA,10,31.15
2013,HF18,A,exclusion,4,8,2,NA,NA,NA,NA,NA,14,31.15
2013,HF18,B,control,5,7,5,NA,NA,NA,NA,NA,17,31.15
2013,HF18,B,exclusion,9,9,0,NA,NA,NA,NA,NA,18,31.15
2013,HF18,C,control,11,11,0,NA,NA,NA,NA,NA,22,31.15
2013,HF18,C,exclusion,17,19,2,NA,NA,NA,NA,NA,38,31.15
2013,HF1,A,control,3,4,1,NA,NA,NA,NA,NA,8,31.15
2013,HF1,A,exclusion,15,9,0,NA,NA,NA,NA,NA,24,31.15
2013,HF1,B,control,18,27,0,NA,NA,NA,NA,NA,45,31.15
2013,HF1,B,exclusion,19,19,0,NA,NA,NA,NA,NA,38,31.15
2013,HF1,C,control,9,11,0,NA,NA,NA,NA,NA,20,31.15
2013,HF1,C,exclusion,13,13,0,NA,NA,NA,NA,NA,26,31.15
2013,HF1,D,control,2,5,1,NA,NA,NA,NA,NA,8,31.15
2013,HF1,D,exclusion,16,12,0,NA,NA,NA,NA,NA,28,31.15
2013,HF1,E,control,21,21,2,NA,NA,NA,NA,NA,44,31.15
2013,HF1,E,exclusion,14,16,0,NA,NA,NA,NA,NA,30,31.15
2013,HF18,A,exclusion,7,11,0,NA,NA,NA,NA,NA,18,31.15
