tree,date,EC.count,JR.count,total.count,year
HF1,8/4/2011,26,27,53,2011
HF4,8/4/2011,29,27,56,2011
HF9,8/4/2011,24,26,50,2011
HF5,8/4/2011,23,26,49,2011
HF6,8/4/2011,25,20,45,2011
HF7,8/4/2011,8,19,27,2011
HF10,8/4/2011,0,2,2,2011
HF12,8/4/2011,24,25,49,2011
HF13,8/4/2011,33,36,69,2011
HF16,8/4/2011,24,16,40,2011
HF18,8/4/2011,29,30,59,2011
HF21,8/4/2011,13,27,40,2011
HF22,8/4/2011,24,15,39,2011
HF23,8/4/2011,27,24,51,2011
HF33,8/4/2011,33,27,60,2011
HF35,8/4/2011,1,1,2,2011
HF38,8/4/2011,31,27,58,2011
HF40,8/4/2011,9,10,19,2011
HF41,8/4/2011,24,18,42,2011
HF43,8/4/2011,26,27,53,2011
HF1,9/6/2012,0,0,0,2012
HF4,9/6/2012,0,0,0,2012
HF9,9/6/2012,0,0,0,2012
HF5,9/6/2012,0,1,1,2012
HF6,9/6/2012,0,0,0,2012
HF7,9/6/2012,0,0,0,2012
HF10,9/6/2012,0,0,0,2012
HF12,9/6/2012,0,0,0,2012
HF13,9/6/2012,0,0,0,2012
HF16,9/6/2012,0,0,0,2012
HF18,9/6/2012,0,0,0,2012
HF21,9/6/2012,0,0,0,2012
HF22,9/6/2012,0,0,0,2012
HF23,9/6/2012,0,0,0,2012
HF33,9/6/2012,0,0,0,2012
HF35,9/6/2012,0,0,0,2012
HF38,9/6/2012,0,0,0,2012
HF40,9/6/2012,0,0,0,2012
HF41,9/6/2012,0,0,0,2012
HF43,9/6/2012,0,0,0,2012
HF1,9/11/2013,34,24,58,2013
HF4,9/11/2013,37,31,68,2013
HF5,9/11/2013,24,20,44,2013
HF6,9/11/2013,28,20,48,2013
HF7,9/11/2013,9,0,9,2013
HF9,9/11/2013,8,14,22,2013
HF10,9/11/2013,1,8,9,2013
HF12,9/11/2013,23,16,39,2013
HF13,9/11/2013,5,17,22,2013
HF16,9/11/2013,0,0,0,2013
HF18,9/11/2013,21,16,37,2013
HF21,9/11/2013,0,0,0,2013
HF22,9/11/2013,0,0,0,2013
HF23,9/11/2013,29,30,59,2013
HF33,9/11/2013,30,26,56,2013
HF35,9/11/2013,0,0,0,2013
HF38,9/11/2013,5,19,24,2013
HF40,9/11/2013,0,0,0,2013
HF41,9/11/2013,38,35,73,2013
HF43,9/11/2013,22,33,55,2013
HF1,8/27/2014,23,12,35,2014
HF4,8/27/2014,3,21,24,2014
HF5,8/27/2014,0,0,0,2014
HF6,8/27/2014,8,11,19,2014
HF7,8/27/2014,0,0,0,2014
HF9,8/27/2014,0,0,0,2014
HF10,8/27/2014,0,0,0,2014
HF12,8/27/2014,5,21,26,2014
HF13,8/27/2014,18,34,52,2014
HF16,8/27/2014,0,5,5,2014
HF18,8/27/2014,7,33,40,2014
HF21,8/27/2014,0,0,0,2014
