Species,Host,Treat,Mass
Colon,Castilleja,Control,4.53
Colon,Castilleja,Control,3.67
Colon,Castilleja,Control,5.84
Colon,Castilleja,Control,2
Colon,Castilleja,Control,4.25
Colon,Castilleja,Control,5.44
Colon,Castilleja,Control,3.37
Colon,Castilleja,Control,4.2
Colon,Castilleja,Control,4
Colon,Castilleja,Control,2.95
Colon,Castilleja,Control,3.8
Colon,Castilleja,Control,5.14
Colon,Castilleja,Control,4.66
Colon,Castilleja,Control,6.05
Colon,Castilleja,Control,6.23
Colon,Castilleja,Control,3.87
Colon,Castilleja,Control,4.35
Colon,Castilleja,Control,5.37
Colon,Castilleja,Control,4.14
Colon,Castilleja,Control,6
Colon,Castilleja,Control,4.42
Colon,Castilleja,Control,4.88
Colon,Castilleja,Control,3.08
Colon,Castilleja,Control,6.37
Colon,Castilleja,Control,3.68
Colon,Castilleja,Control,4.27
Colon,Castilleja,Control,5.42
Colon,Castilleja,Control,3.31
Colon,Castilleja,Control,5.44
Colon,Castilleja,Control,4.19
Colon,Castilleja,Control,3.77
Colon,Castilleja,Control,3.85
Colon,Castilleja,Control,4.21
Colon,Castilleja,Control,4.85
Colon,Castilleja,Control,4.97
Colon,Castilleja,Control,3.22
Colon,Castilleja,Control,4.69
Colon,Castilleja,Control,3.36
Colon,Castilleja,Control,4.58
Colon,Castilleja,Control,4.29
Colon,Castilleja,Control,4.6
Colon,Castilleja,Control,4.98
Colon,Castilleja,Control,3.99
Colon,Castilleja,Control,4.93
Colon,Castilleja,Control,3.72
Colon,Castilleja,Control,1.25
Colon,Castilleja,Control,4.48
Colon,Castilleja,Control,4.28
Colon,Castilleja,Control,4.82
Colon,Castilleja,Control,2.12
Colon,Castilleja,Control,4.62
Colon,Castilleja,Control,6.31
Colon,Castilleja,Control,2.8
Colon,Castilleja,Control,6.87
Colon,Castilleja,Control,2.46
Colon,Castilleja,Herbicide,5.78
Colon,Castilleja,Herbicide,4.94
Colon,Castilleja,Herbicide,2.2
Colon,Castilleja,Herbicide,2.86
Colon,Castilleja,Herbicide,2.07
Colon,Castilleja,Herbicide,1.5
Colon,Castilleja,Herbicide,4.69
Colon,Castilleja,Herbicide,3.57
Colon,Castilleja,Herbicide,1.76
Colon,Castilleja,Herbicide,3.57
Colon,Castilleja,Herbicide,7.01
Colon,Castilleja,Herbicide,4.83
Colon,Castilleja,Herbicide,4.81
Colon,Castilleja,Herbicide,4.79
Colon,Castilleja,Herbicide,3.58
Colon,Castilleja,Herbicide,3.2
Colon,Castilleja,Herbicide,3.1
Colon,Castilleja,Herbicide,3.44
Colon,Castilleja,Herbicide,3.68
Colon,Castilleja,Herbicide,3.92
Colon,Castilleja,Herbicide,3.46
Colon,Castilleja,Herbicide,2.89
Colon,Castilleja,Herbicide,2.92
Colon,Castilleja,Herbicide,4.68
Colon,Castilleja,Herbicide,2.55
Colon,Castilleja,Herbicide,5.39
Colon,Castilleja,Herbicide,2.56
Colon,Castilleja,Herbicide,2.36
Colon,Castilleja,Herbicide,3.14
Colon,Castilleja,Herbicide,2.53
