BIRD_ID,YEAR,SCI_NAME,FAMILY,N_TICK,AVE_BWT,NEST,DIET,HABITAT,POS_BIRD
12,2003,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
13,2003,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
91,2003,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
127,2003,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
286,2003,Melanerpes formicivorus,Picidae,1,77.5,CAVITY,INSECTS,OAKW,0
318,2003,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
319,2003,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
320,2003,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
440,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
465,2004,Melanerpes formicivorus,Picidae,1,77.5,CAVITY,INSECTS,OAKW,0
475,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
495,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
503,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
524,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
536,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
544,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
567,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
578,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
579,2004,Melanerpes formicivorus,Picidae,0,77.5,CAVITY,INSECTS,OAKW,0
8,2003,Turdus migratorius,Turdidae,0,81,TREE,INSECTS,OAKW,0
34,2003,Turdus migratorius,Turdidae,1,81,TREE,INSECTS,OAKW,0
92,2003,Turdus migratorius,Turdidae,6,81,TREE,INSECTS,OAKW,1
181,2003,Turdus migratorius,Turdidae,1,81,TREE,INSECTS,OAKW,1
625,2004,Turdus migratorius,Turdidae,0,81,TREE,INSECTS,OAKW,0
29,2003,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
30,2003,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
33,2003,Myiarchus cinerascens,Tyrannidae,1,29.5,CAVITY,INSECTS,OAKW,0
64,2003,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
173,2003,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
198,2003,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
288,2003,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
419,2004,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
420,2004,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
466,2004,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
474,2004,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
502,2004,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
560,2004,Myiarchus cinerascens,Tyrannidae,0,29.5,CAVITY,INSECTS,OAKW,0
106,2003,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,1
128,2003,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,0
144,2003,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,0
176,2003,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,0
282,2003,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,0
283,2003,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,0
284,2003,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,0
285,2003,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,1
426,2004,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,0
438,2004,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,0
476,2004,Thryomanes bewickii,Troglodytidae,3,10,CAVITY,INSECTS,OAKW,0
496,2004,Thryomanes bewickii,Troglodytidae,1,10,CAVITY,INSECTS,OAKW,1
508,2004,Thryomanes bewickii,Troglodytidae,0,10,CAVITY,INSECTS,OAKW,1
