plate,species,bagged,collected,site,type,OD,conc.raw,conc,logcon,native
1,Lonicera japonica,6/8/18,6/9/18,McElwain,flower,0.635,61.481,61.481,4.126827886,no
1,Lonicera japonica,6/8/18,6/9/18,McElwain,flower,2.231,235.225,235.225,5.462665871,no
1,Lonicera japonica,6/8/18,6/9/18,McElwain,flower,-0.038,-11.783,0,-0.693147181,no
1,Lonicera japonica,6/8/18,6/9/18,McElwain,flower,1.869,195.817,195.817,5.2797307,no
1,Lonicera japonica,6/8/18,6/9/18,Abel,flower,3.531,376.745,376.745,5.932894844,no
1,Lonicera japonica,6/8/18,6/9/18,Abel,flower,0.232,17.61,17.61,2.896464272,no
1,Lonicera japonica,6/8/18,6/9/18,Abel,flower,0.286,23.489,23.489,3.177595392,no
1,Lonicera japonica,6/8/18,6/9/18,Abel,flower,0.105,3.785,3.785,1.455120552,no
1,Lonicera japonica,6/8/18,6/9/18,Abel,flower,-0.021,-9.932,0,-0.693147181,no
1,Lonicera japonica,6/8/18,6/9/18,Harvard,flower,3.596,383.821,383.821,5.951478141,no
1,Lonicera japonica,6/8/18,6/9/18,Harvard,flower,0.024,-5.033,0,-0.693147181,no
1,Potentilla canadensis,6/8/18,6/9/18,McElwain,flower,0.088,1.934,1.934,0.889535995,yes
1,Potentilla canadensis,6/8/18,6/9/18,McElwain,flower,-0.009,-8.626,0,-0.693147181,yes
1,Potentilla canadensis,6/8/18,6/9/18,McElwain,flower,-0.014,-9.17,0,-0.693147181,yes
1,Potentilla canadensis,6/8/18,6/9/18,Abel,flower,-0.018,-9.605,0,-0.693147181,yes
1,Potentilla canadensis,6/8/18,6/9/18,Abel,flower,0.003,-7.319,0,-0.693147181,yes
1,Potentilla canadensis,6/8/18,6/9/18,Harvard,flower,0.088,1.934,1.934,0.889535995,yes
1,Potentilla canadensis,6/8/18,6/9/18,Harvard,flower,0.052,-1.985,0,-0.693147181,yes
1,Potentilla canadensis,6/8/18,6/9/18,Harvard,flower,0.042,-3.074,0,-0.693147181,yes
1,Sambucus nigra,6/12/18,6/13/18,McElwain,bud,-0.027,-10.585,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,McElwain,bud,-0.016,-9.388,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,McElwain,bud,-0.018,-9.605,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,McElwain,bud,-0.017,-9.497,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,McElwain,bud,-0.015,-9.279,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,-0.022,-10.041,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,-0.013,-9.061,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,-0.017,-9.497,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,-0.011,-8.843,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,-0.006,-8.299,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,0.154,9.119,9.119,2.263740309,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,0.025,-4.924,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Abel,bud,0.099,3.131,3.131,1.289508092,no
1,Sambucus nigra,6/12/18,6/13/18,Harvard,bud,0.011,-6.449,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Harvard,bud,-0.018,-9.605,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Harvard,bud,-0.004,-8.081,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Harvard,bud,0.037,-3.618,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Harvard,bud,0.073,0.301,0.301,-0.221894332,no
1,Sambucus nigra,6/12/18,6/13/18,Harvard,bud,0.041,-3.183,0,-0.693147181,no
1,Sambucus nigra,6/12/18,6/13/18,Harvard,bud,0.034,-3.945,0,-0.693147181,no
1,Viburnum recognitum,6/12/18,6/13/18,McElwain,bud,0.011,-6.449,0,-0.693147181,yes
1,Viburnum recognitum,6/12/18,6/13/18,McElwain,bud,0.059,-1.223,0,-0.693147181,yes
1,Viburnum recognitum,6/12/18,6/13/18,McElwain,bud,-0.009,-8.626,0,-0.693147181,yes
