no,site,region,site2,area,elevation,landuse,year,count1,count2,mean.density
1,AG01,CH.Central,Reusstal,2.23,384,arable,1992,NA,NA,NA
2,AG01,CH.Central,Reusstal,2.23,384,arable,1993,NA,NA,NA
3,AG01,CH.Central,Reusstal,2.23,384,arable,1994,NA,NA,NA
4,AG01,CH.Central,Reusstal,2.23,384,arable,1995,6,4,2.69058296
5,AG01,CH.Central,Reusstal,2.23,384,arable,1996,7,5,3.139013453
6,AG01,CH.Central,Reusstal,2.23,384,arable,1997,3,3,1.34529148
7,AG01,CH.Central,Reusstal,2.23,384,arable,1998,1,2,0.896860987
8,AG01,CH.Central,Reusstal,2.23,384,arable,1999,3,2,1.34529148
9,AG01,CH.Central,Reusstal,2.23,384,arable,2000,4,6,2.69058296
10,AG01,CH.Central,Reusstal,2.23,384,arable,2001,5,5,2.242152466
11,AG01,CH.Central,Reusstal,2.23,384,arable,2002,8,4,3.587443946
12,AG01,CH.Central,Reusstal,2.23,384,arable,2003,12,10,5.381165919
13,AG01,CH.Central,Reusstal,2.23,384,arable,2004,14,11,6.278026906
14,AG01,CH.Central,Reusstal,2.23,384,arable,2005,8,11,4.932735426
15,AG01,CH.Central,Reusstal,2.23,384,arable,2006,6,3,2.69058296
16,AG01,CH.Central,Reusstal,2.23,384,arable,2007,0,5,2.242152466
17,AG01,CH.Central,Reusstal,2.23,384,arable,2008,2,2,0.896860987
18,AG02,CH.Central,Reusstal,3.58,382,arable,1992,NA,NA,NA
19,AG02,CH.Central,Reusstal,3.58,382,arable,1993,NA,NA,NA
20,AG02,CH.Central,Reusstal,3.58,382,arable,1994,NA,NA,NA
21,AG02,CH.Central,Reusstal,3.58,382,arable,1995,10,9,2.793296089
22,AG02,CH.Central,Reusstal,3.58,382,arable,1996,7,9,2.51396648
23,AG02,CH.Central,Reusstal,3.58,382,arable,1997,7,6,1.955307263
24,AG02,CH.Central,Reusstal,3.58,382,arable,1998,5,7,1.955307263
25,AG02,CH.Central,Reusstal,3.58,382,arable,1999,8,6,2.234636872
26,AG02,CH.Central,Reusstal,3.58,382,arable,2000,14,12,3.910614525
27,AG02,CH.Central,Reusstal,3.58,382,arable,2001,7,16,4.469273743
28,AG02,CH.Central,Reusstal,3.58,382,arable,2002,22,15,6.145251397
29,AG02,CH.Central,Reusstal,3.58,382,arable,2003,9,13,3.631284916
30,AG02,CH.Central,Reusstal,3.58,382,arable,2004,3,15,4.189944134
31,AG02,CH.Central,Reusstal,3.58,382,arable,2005,8,8,2.234636872
32,AG02,CH.Central,Reusstal,3.58,382,arable,2006,4,9,2.51396648
33,AG02,CH.Central,Reusstal,3.58,382,arable,2007,3,6,1.675977654
34,AG02,CH.Central,Reusstal,3.58,382,arable,2008,6,8,2.234636872
35,AG03,CH.Central,Reusstal,4.79,384,arable,1992,NA,NA,NA
36,AG03,CH.Central,Reusstal,4.79,384,arable,1993,NA,NA,NA
37,AG03,CH.Central,Reusstal,4.79,384,arable,1994,NA,NA,NA
38,AG03,CH.Central,Reusstal,4.79,384,arable,1995,21,28,5.845511482
39,AG03,CH.Central,Reusstal,4.79,384,arable,1996,13,19,3.966597077
40,AG03,CH.Central,Reusstal,4.79,384,arable,1997,7,14,2.922755741
41,AG03,CH.Central,Reusstal,4.79,384,arable,1998,5,7,1.461377871
42,AG03,CH.Central,Reusstal,4.79,384,arable,1999,14,8,2.922755741
43,AG03,CH.Central,Reusstal,4.79,384,arable,2000,12,13,2.713987474
44,AG03,CH.Central,Reusstal,4.79,384,arable,2001,9,10,2.087682672
45,AG03,CH.Central,Reusstal,4.79,384,arable,2002,11,12,2.505219207
46,AG03,CH.Central,Reusstal,4.79,384,arable,2003,22,20,4.592901879
47,AG03,CH.Central,Reusstal,4.79,384,arable,2004,22,17,4.592901879
48,AG03,CH.Central,Reusstal,4.79,384,arable,2005,8,14,2.922755741
49,AG03,CH.Central,Reusstal,4.79,384,arable,2006,11,6,2.296450939
50,AG03,CH.Central,Reusstal,4.79,384,arable,2007,3,14,2.922755741
51,AG03,CH.Central,Reusstal,4.79,384,arable,2008,15,20,4.175365344
52,AG04,CH.Central,Reusstal,5.8,388,arable,1992,NA,NA,NA
53,AG04,CH.Central,Reusstal,5.8,388,arable,1993,NA,NA,NA
54,AG04,CH.Central,Reusstal,5.8,388,arable,1994,NA,NA,NA
55,AG04,CH.Central,Reusstal,5.8,388,arable,1995,12,7,2.068965517
56,AG04,CH.Central,Reusstal,5.8,388,arable,1996,5,4,0.862068966
57,AG04,CH.Central,Reusstal,5.8,388,arable,1997,1,1,0.172413793
58,AG04,CH.Central,Reusstal,5.8,388,arable,1998,1,2,0.344827586
59,AG04,CH.Central,Reusstal,5.8,388,arable,1999,2,NA,0.344827586
60,AG04,CH.Central,Reusstal,5.8,388,arable,2000,NA,2,0.344827586
61,AG04,CH.Central,Reusstal,5.8,388,arable,2001,NA,NA,NA
62,AG04,CH.Central,Reusstal,5.8,388,arable,2002,NA,NA,NA
63,AG04,CH.Central,Reusstal,5.8,388,arable,2003,3,NA,0.517241379
64,AG04,CH.Central,Reusstal,5.8,388,arable,2004,7,10,1.724137931
65,AG04,CH.Central,Reusstal,5.8,388,arable,2005,3,6,1.034482759
66,AG04,CH.Central,Reusstal,5.8,388,arable,2006,9,3,1.551724138
67,AG04,CH.Central,Reusstal,5.8,388,arable,2007,5,2,0.862068966
68,AG04,CH.Central,Reusstal,5.8,388,arable,2008,13,8,2.24137931
69,BE01,Aare,NA,2.44,510,arable,1992,8,11,4.508196721
70,BE01,Aare,NA,2.44,510,arable,1993,13,15,6.147540984
71,BE01,Aare,NA,2.44,510,arable,1994,1,6,2.459016393
72,BE01,Aare,NA,2.44,510,arable,1995,4,3,1.639344262
73,BE01,Aare,NA,2.44,510,arable,1996,NA,NA,NA
74,BE01,Aare,NA,2.44,510,arable,1997,NA,NA,NA
75,BE01,Aare,NA,2.44,510,arable,1998,8,9,3.68852459
76,BE01,Aare,NA,2.44,510,arable,1999,NA,NA,NA
77,BE01,Aare,NA,2.44,510,arable,2000,4,1,1.639344262
78,BE01,Aare,NA,2.44,510,arable,2001,NA,NA,NA
79,BE01,Aare,NA,2.44,510,arable,2002,NA,NA,NA
80,BE01,Aare,NA,2.44,510,arable,2003,NA,NA,NA
81,BE01,Aare,NA,2.44,510,arable,2004,NA,NA,NA
82,BE01,Aare,NA,2.44,510,arable,2005,1,2,0.819672131
83,BE01,Aare,NA,2.44,510,arable,2006,NA,NA,NA
84,BE01,Aare,NA,2.44,510,arable,2007,NA,NA,NA
85,BE01,Aare,NA,2.44,510,arable,2008,NA,NA,NA
86,BE02,Aare,NA,4.94,514,arable,1992,23,24,4.858299595
87,BE02,Aare,NA,4.94,514,arable,1993,19,30,6.072874494
88,BE02,Aare,NA,4.94,514,arable,1994,3,14,2.834008097
89,BE02,Aare,NA,4.94,514,arable,1995,12,16,3.238866397
90,BE02,Aare,NA,4.94,514,arable,1996,NA,NA,NA
91,BE02,Aare,NA,4.94,514,arable,1997,NA,NA,NA
92,BE02,Aare,NA,4.94,514,arable,1998,7,6,1.417004049
93,BE02,Aare,NA,4.94,514,arable,1999,NA,NA,NA
94,BE02,Aare,NA,4.94,514,arable,2000,9,10,2.024291498
95,BE02,Aare,NA,4.94,514,arable,2001,NA,NA,NA
96,BE02,Aare,NA,4.94,514,arable,2002,NA,NA,NA
97,BE02,Aare,NA,4.94,514,arable,2003,NA,NA,NA
98,BE02,Aare,NA,4.94,514,arable,2004,NA,NA,NA
99,BE02,Aare,NA,4.94,514,arable,2005,2,NA,0.4048583
100,BE02,Aare,NA,4.94,514,arable,2006,NA,NA,NA
101,BE02,Aare,NA,4.94,514,arable,2007,NA,NA,NA
102,BE02,Aare,NA,4.94,514,arable,2008,NA,NA,NA
103,BE03,Aare,NA,1.12,557,grass,1992,1,1,0.892857143
104,BE03,Aare,NA,1.12,557,grass,1993,NA,NA,NA
105,BE03,Aare,NA,1.12,557,grass,1994,1,NA,0.892857143
106,BE03,Aare,NA,1.12,557,grass,1995,1,1,0.892857143
107,BE03,Aare,NA,1.12,557,grass,1996,NA,NA,NA
108,BE03,Aare,NA,1.12,557,grass,1997,NA,NA,NA
109,BE03,Aare,NA,1.12,557,grass,1998,1,1,0.892857143
110,BE03,Aare,NA,1.12,557,grass,1999,NA,NA,NA
111,BE03,Aare,NA,1.12,557,grass,2000,2,1,1.785714286
112,BE03,Aare,NA,1.12,557,grass,2001,NA,NA,NA
113,BE03,Aare,NA,1.12,557,grass,2002,NA,NA,NA
114,BE03,Aare,NA,1.12,557,grass,2003,NA,NA,NA
115,BE03,Aare,NA,1.12,557,grass,2004,NA,NA,NA
116,BE03,Aare,NA,1.12,557,grass,2005,NA,NA,NA
117,BE03,Aare,NA,1.12,557,grass,2006,NA,NA,NA
118,BE03,Aare,NA,1.12,557,grass,2007,NA,NA,NA
119,BE03,Aare,NA,1.12,557,grass,2008,NA,NA,NA
120,BE04,Aare,NA,2.77,532,arable,1992,5,7,2.527075812
121,BE04,Aare,NA,2.77,532,arable,1993,8,10,3.610108303
122,BE04,Aare,NA,2.77,532,arable,1994,1,6,2.166064982
123,BE04,Aare,NA,2.77,532,arable,1995,9,8,3.249097473
124,BE04,Aare,NA,2.77,532,arable,1996,NA,NA,NA
125,BE04,Aare,NA,2.77,532,arable,1997,NA,NA,NA
126,BE04,Aare,NA,2.77,532,arable,1998,6,8,2.888086643
127,BE04,Aare,NA,2.77,532,arable,1999,NA,NA,NA
128,BE04,Aare,NA,2.77,532,arable,2000,21,8,7.581227437
129,BE04,Aare,NA,2.77,532,arable,2001,NA,NA,NA
130,BE04,Aare,NA,2.77,532,arable,2002,NA,NA,NA
131,BE04,Aare,NA,2.77,532,arable,2003,NA,NA,NA
132,BE04,Aare,NA,2.77,532,arable,2004,NA,NA,NA
133,BE04,Aare,NA,2.77,532,arable,2005,1,2,0.722021661
134,BE04,Aare,NA,2.77,532,arable,2006,NA,NA,NA
135,BE04,Aare,NA,2.77,532,arable,2007,NA,NA,NA
136,BE04,Aare,NA,2.77,532,arable,2008,NA,NA,NA
137,BE05,Aare,NA,1.97,532,grass,1992,2,6,3.045685279
138,BE05,Aare,NA,1.97,532,grass,1993,5,4,2.538071066
139,BE05,Aare,NA,1.97,532,grass,1994,1,1,0.507614213
140,BE05,Aare,NA,1.97,532,grass,1995,7,3,3.553299492
141,BE05,Aare,NA,1.97,532,grass,1996,NA,NA,NA
142,BE05,Aare,NA,1.97,532,grass,1997,NA,NA,NA
143,BE05,Aare,NA,1.97,532,grass,1998,1,NA,0.507614213
144,BE05,Aare,NA,1.97,532,grass,1999,NA,NA,NA
145,BE05,Aare,NA,1.97,532,grass,2000,3,1,1.52284264
146,BE05,Aare,NA,1.97,532,grass,2001,NA,NA,NA
147,BE05,Aare,NA,1.97,532,grass,2002,NA,NA,NA
148,BE05,Aare,NA,1.97,532,grass,2003,NA,NA,NA
149,BE05,Aare,NA,1.97,532,grass,2004,NA,NA,NA
150,BE05,Aare,NA,1.97,532,grass,2005,NA,NA,NA
151,BE05,Aare,NA,1.97,532,grass,2006,NA,NA,NA
152,BE05,Aare,NA,1.97,532,grass,2007,NA,NA,NA
153,BE05,Aare,NA,1.97,532,grass,2008,NA,NA,NA
154,BE06,Aare,NA,8.39,542,grass,1992,25,28,3.337306317
155,BE06,Aare,NA,8.39,542,grass,1993,23,30,3.57568534
156,BE06,Aare,NA,8.39,542,grass,1994,32,43,5.125148987
157,BE06,Aare,NA,8.39,542,grass,1995,44,24,5.244338498
158,BE06,Aare,NA,8.39,542,grass,1996,NA,NA,NA
159,BE06,Aare,NA,8.39,542,grass,1997,NA,NA,NA
160,BE06,Aare,NA,8.39,542,grass,1998,29,30,3.57568534
161,BE06,Aare,NA,8.39,542,grass,1999,NA,NA,NA
162,BE06,Aare,NA,8.39,542,grass,2000,30,23,3.57568534
163,BE06,Aare,NA,8.39,542,grass,2001,NA,NA,NA
164,BE06,Aare,NA,8.39,542,grass,2002,NA,NA,NA
165,BE06,Aare,NA,8.39,542,grass,2003,NA,NA,NA
166,BE06,Aare,NA,8.39,542,grass,2004,NA,NA,NA
167,BE06,Aare,NA,8.39,542,grass,2005,22,16,2.622169249
168,BE06,Aare,NA,8.39,542,grass,2006,NA,NA,NA
169,BE06,Aare,NA,8.39,542,grass,2007,NA,NA,NA
170,BE06,Aare,NA,8.39,542,grass,2008,NA,NA,NA
171,BE08,CH.W,Seeland,5.1,434,arable,1992,10,15,2.941176471
172,BE08,CH.W,Seeland,5.1,434,arable,1993,17,17,3.333333333
173,BE08,CH.W,Seeland,5.1,434,arable,1994,17,8,3.333333333
174,BE08,CH.W,Seeland,5.1,434,arable,1995,7,8,1.568627451
175,BE08,CH.W,Seeland,5.1,434,arable,1996,13,11,2.549019608
176,BE08,CH.W,Seeland,5.1,434,arable,1997,8,10,1.960784314
177,BE08,CH.W,Seeland,5.1,434,arable,1998,3,12,2.352941176
178,BE08,CH.W,Seeland,5.1,434,arable,1999,NA,NA,NA
179,BE08,CH.W,Seeland,5.1,434,arable,2000,10,8,1.960784314
180,BE08,CH.W,Seeland,5.1,434,arable,2001,14,9,2.745098039
181,BE08,CH.W,Seeland,5.1,434,arable,2002,12,13,2.549019608
182,BE08,CH.W,Seeland,5.1,434,arable,2003,5,6,1.176470588
