treatment,larval_ID,9/10/18,9/24/18,10/8/18,10/22/18,11/5/18,11/19/18,12/3/18,12/17/18
A,A1,7.3,7.4,12,10.9,11.2,12.5,12.6,11.7
A,A2,11.6,9.8,13.2,14.3,16.4,15.2,12.7,15.8
A,A3,10.4,8.2,12.1,11.6,11.9,12.8,12.2,12.6
A,A4,14.4,14.4,13.9,13.5,13.1,12.2,12.8,11.4
B,B5,12,11.3,17.2,15.9,16.6,17.3,18.4,20
B,B6,15.3,15.2,16.1,14.3,15.3,13.9,12.9,15.2
B,B7,4.6,4.7,8.4,7.6,6.8,7.7,7.1,8.6
B,B8,6.6,6.6,9.7,10.8,8.4,7.8,11.4,9.4
C,C1,6.7,6.4,7.1,8.7,8.4,10.6,11.6,10.2
C,C2,5.7,5.6,6,7.2,10.5,9.6,10.2,10.2
C,C3,7.3,8.7,12.4,14.8,17.5,18.6,26.4,25
C,C4,8.8,10.5,14.8,25.8,19,21.5,25.2,24.9
D,D5,10.5,11.3,13.8,19.5,21.8,19.9,22.8,24.3
D,D6,5,7.9,9.8,11.2,12.8,12.9,11.7,12.1
D,D7,9.8,8.2,7.1,8.7,8.2,8.2,7.1,7.7
D,D8,31.9,27.3,41.3,46.5,53.5,57.6,62.4,58.8
I,I1,6.2,6.2,3.9,3.9,3.5,3.8,4.7,3.3
I,I2,2.5,3.4,3.6,4,4.4,5.4,7.1,5.5
I,I3,4.5,4.7,4.4,5.6,5.3,5.9,5.7,6
I,I4,7.1,5.5,10,11.7,14.8,12.7,12.8,12
J,I5,6.6,10.7,12.3,14.9,15.1,14.4,14.5,15.4
J,I6,9.2,7,10.3,9.8,10.5,11,11.1,12.2
J,I7,8.9,7.8,12.3,12.7,13.9,14.4,14.6,12.9
J,I8,5.9,4.6,4.3,5.1,4.8,5.3,4.8,3.4
