date,treatment,Avalon,Caroline,Morgan,Ariel,Belle
JN17,dark,1,1,1,0,0
JN17,red,1,1,1,0,0
JN17,amber,1,1,1,0,1
JN17,blue,1,1,0,0,0
JN22,dark,1,1,0,0,0
JN22,red,1,1,0,0,1
JN22,amber,1,1,0,0,0
JN22,blue,1,1,1,0,0
JN28,dark,1,1,1,0,1
JN28,red,1,1,1,0,0
JN28,amber,1,1,0,1,0
JN28,blue,1,1,0,1,1
JN29,red,1,1,0,1,0
JN29,amber,1,0,0,1,0
JN29,blue,1,0,1,1,1
JY01,dark,1,0,1,1,0
JY01,red,1,0,1,1,0
JY01,amber,1,0,0,1,1
JY01,blue,1,1,0,1,0
JY02,red,1,1,0,1,0
JY02,amber,1,1,0,1,1
JY02,blue,1,1,1,1,0
JY05,red,1,1,1,1,0
JY05,amber,1,1,1,1,1
JY05,blue,1,1,1,1,1
