trap_ID,days_out,trap_type,trap_area,side,insect_order,insect_family,count
JN17.dark,3,yellow,150,1,Diptera,Tipulidae,2
JN17.dark,3,yellow,150,1,Diptera,Chironomidae,2
JN17.dark,3,yellow,150,1,Diptera,Simuliidae,1
JN17.dark,3,yellow,150,1,Hemiptera,,1
JN17.dark,3,yellow,150,2,Diptera,Tipulidae ,1
JN17.red,3,yellow,150,1,Diptera,Chironomidae,2
JN17.red,3,yellow,150,1,Diptera,Drosophilidae,1
JN17.red,3,yellow,150,2,Diptera,,1
JN17.red,3,yellow,150,2,Diptera,Chironomidae,1
JN17.amber,3,yellow,150,1,Diptera,Chironomidae,1
JN17.amber,3,yellow,150,1,Diptera,Drosophilidae,2
JN17.amber,3,yellow,150,1,Trichoptera,,1
JN17.amber,3,yellow,150,1,Lepidoptera,,1
JN17.amber,3,yellow,150,2,Coleoptera,Lampyridae,1
JN17.amber,3,yellow,150,2,Hemiptera,,2
JN17.amber,3,yellow,150,2,Diptera,Chironomidae,1
JN17.blue,3,yellow,150,1,Diptera,Drosophilidae,14
JN17.blue,3,yellow,150,1,Diptera,Chironomidae,4
JN17.blue,3,yellow,150,2,Diptera,Drosophilidae,4
JN17.blue,3,yellow,150,2,Diptera,Psychodidae,2
JN17.blue,3,yellow,150,2,Diptera,Chironomidae,4
JN22.red,6,yellow,150,1,Diptera,Psychodidae,3
JN22.red,6,yellow,150,1,Diptera,Tipulidae ,1
JN22.red,6,yellow,150,1,Diptera,Chironomidae,5
JN22.red,6,yellow,150,1,Hemiptera,,1
JN22.red,6,yellow,150,1,Lepidoptera,,1
JN22.red,6,yellow,150,2,Lepidoptera,,1
JN22.red,6,yellow,150,2,Diptera,Chironomidae,1
JN22.blue,6,yellow,150,1,Diptera,Chironomidae,22
JN22.blue,6,yellow,150,1,Diptera,Culicidae,8
JN22.blue,6,yellow,150,1,Diptera,Tipulidae,2
JN22.blue,6,yellow,150,1,Diptera,Psychodidae,4
JN22.blue,6,yellow,150,1,Diptera,Drosophilidae,3
JN22.blue,6,yellow,150,1,Hemiptera,,4
JN22.blue,6,yellow,150,1,Trichoptera,,2
JN22.blue,6,yellow,150,1,Lepidoptera,,1
JN22.blue,6,yellow,150,2,Trichoptera,,4
JN22.blue,6,yellow,150,2,Diptera,Tipulidae ,3
JN22.blue,6,yellow,150,2,Acari,,6
JN22.blue,6,yellow,150,2,Diptera,Culicidae,2
JN22.blue,6,yellow,150,2,Diptera,Psychodidae,4
JN22.blue,6,yellow,150,2,Hemiptera,,11
JN22.blue,6,yellow,150,2,Diptera,Drosophilidae,2
JN22.blue,6,yellow,150,2,Diptera,Phoridae,2
JN22.blue,6,yellow,150,2,Diptera,Chironomidae,13
JN22.amber,6,yellow,150,1,Diptera,Chironomidae,21
JN22.amber,6,yellow,150,1,Diptera,Tipulidae ,5
JN22.amber,6,yellow,150,1,Diptera,Psychodidae,15
JN22.amber,6,yellow,150,1,Ephemeroptera,,1
JN22.amber,6,yellow,150,1,Lepidoptera,,2
JN22.amber,6,yellow,150,1,Hemiptera,,5
JN22.amber,6,yellow,150,2,Diptera,Tipulidae ,4
JN22.amber,6,yellow,150,2,Diptera,Psychodidae,17
JN22.amber,6,yellow,150,2,Diptera,Chironomidae,53
JN22.amber,6,yellow,150,2,Hemiptera,,7
JN22.amber,6,yellow,150,2,Lepidoptera,,1
JN22.amber,6,yellow,150,2,Trichoptera,,1
JN22.dark,6,yellow,150,1,Hemiptera,,1
JN22.dark,6,yellow,150,1,Diptera,Chironomidae,4
JN22.dark,6,yellow,150,1,Trichoptera,,1
JN22.dark,6,yellow,150,1,Diptera,Psychodidae,1
JN22.dark,6,yellow,150,1,Psocodea,,1
JN22.dark,6,yellow,150,2,Hymenoptera,,1
JN22.dark,6,yellow,150,2,Hemiptera,,1
JN22.dark,6,yellow,150,2,Diptera,Tipulidae,1
JN22.dark,6,yellow,150,2,Diptera,Chironomidae,13
JN28.blue,1,clear,93,3,Diptera,Tipulidae,10
JN28.blue,1,clear,93,3,Diptera,Chironomidae,31
JN28.blue,1,clear,93,3,Diptera,Psychodidae,59
JN28.blue,1,clear,93,3,Diptera,Drosophilidae,3
JN28.blue,1,clear,93,3,Hemiptera,,18
JN28.blue,1,clear,93,3,Coleoptera,,1
JN28.amber,1,clear,93,3,Diptera,Tipulidae,3
JN28.amber,1,clear,93,3,Diptera,Chironomidae,29
JN28.amber,1,clear,93,3,Diptera,Psychodidae,68
JN28.amber,1,clear,93,3,Diptera,Drosophilidae,1
JN28.amber,1,clear,93,3,Lepidoptera,,1
JN28.amber,1,clear,93,3,Trichoptera,,1
JN28.amber,1,clear,93,3,Hemiptera,,7
JN28.amber,1,clear,93,3,Acari,,1
JN28.red,1,clear,93,3,Acari,,1
