site.num,Aster,Polygonum,Hydrangea,Arabidopsis,Achillea,Asclepias,Campanula,Echinacea,Helianthus,Rudbeckia,Salvia,Rose,Dandelion,Violet_pansy,Tulip,Petunia,NEIGHBORHOOD,YardType,lat,long,UTM_lon,UTM_lat,Zone_EW
1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,POWDER HOUSE SQUARE,Pollinator,42.39159,-71.10813,326480.5655,4695408.19,4
2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,ALBION,Conventional,42.39033,-71.10296,326902.6603,4695257.727,7
3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,ALBION,Conventional,42.39035,-71.10381,326832.7478,4695261.68,6
4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,ALBION,Pollinator,42.39048,-71.10414,326805.9415,4695276.789,5
5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,ALBION,Conventional,42.39033,-71.10484,326747.9087,4695261.56,6
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,TEN HILLS,Conventional,42.39789,-71.09636,327466.6558,4696083.787,8
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MAGOUN SQUARE,Conventional,42.39426,-71.10152,327031.99,4695691.194,7
10,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,MAGOUN SQUARE,Pollinator,42.395,-71.10149,327036.4923,4695773.305,7
11,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,POWDER HOUSE SQUARE,Pollinator,42.40019,-71.11491,325946.2609,4696377.037,3
12,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,POWDER HOUSE SQUARE,Pollinator,42.39847,-71.11607,325846.0322,4696188.42,2
13,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,WARD HILL,Pollinator,42.37526,-71.10319,326842.3023,4693584.774,6
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPRING HILL,Conventional,42.38397,-71.10797,326472.7394,4694561.713,5
15,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,POWDER HOUSE SQUARE,Pollinator,42.38937,-71.10791,326492.5572,4695161.224,4
16,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,POWDER HOUSE SQUARE,Pollinator,42.38898,-71.11063,326267.5817,4695123.477,4
17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,WINTER HILL,Conventional,NA,-71.09845,NA,NA,7
18,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,MAGOUN SQUARE,Conventional,NA,-71.09821,NA,NA,8
19,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,TUFTS ,Pollinator,42.40291,-71.11603,325861.6082,4696681.372,2
20,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,TUFTS ,Pollinator,42.40328,-71.11609,325857.694,4696722.581,2
21,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,MAGOUN SQUARE,Pollinator,42.39401,-71.09845,327283.9945,4695657.186,8
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SPRING HILL,Conventional,42.39153,-71.11652,325789.7925,4695418.701,2
23,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,POWDER HOUSE SQUARE,Pollinator,42.38801,-71.10553,326684.7262,4695005.347,5
