"census_tract","data_redacted","num_bll_5plus","num_screen","perc_5plus","MedianHHincome"
"42101000100","false",0,100,0,90225
"42101000200","true",NA,109,NA,46375
"42101000300","true",NA,110,NA,79968
"42101000401","true",NA,61,NA,45949
"42101000402","false",0,41,0,51559
"42101000500","true",NA,49,NA,46563
"42101000600","false",0,24,0,68056
"42101000700","false",0,57,0,43108
"42101000801","true",NA,57,NA,81667
"42101000803","false",0,63,0,56815
"42101000804","false",0,86,0,97861
"42101000901","false",0,21,0,35485
"42101000902","true",NA,62,NA,42875
"42101001001","false",0,68,0,90000
"42101001002","false",0,82,0,103864
"42101001101","true",NA,91,NA,66105
"42101001102","true",NA,79,NA,54821
"42101001201","true",NA,137,NA,106125
"42101001202","true",NA,141,NA,71291
"42101001300","true",NA,435,NA,73472
"42101001400","true",NA,237,NA,62475
"42101001500","true",NA,138,NA,72237
"42101001600","false",0,107,0,65293
"42101001700","true",NA,127,NA,101528
"42101001800","true",NA,154,NA,75000
"42101001900","false",6,195,3.1,61250
"42101002000","false",8,105,7.6,29688
"42101002100","true",NA,128,NA,43269
"42101002200","false",7,121,5.8,33897
"42101002300","true",NA,156,NA,46136
"42101002400","false",6,301,2,53917
"42101002500","true",NA,258,NA,44306
"42101002701","false",12,275,4.4,42350
"42101002702","true",NA,143,NA,61366
"42101002801","false",12,362,3.3,36518
"42101002802","true",NA,306,NA,49635
"42101002900","true",NA,198,NA,50813
"42101003001","false",14,260,5.4,36987
"42101003002","false",17,192,8.9,25517
"42101003100","false",14,326,4.3,25588
"42101003200","false",19,374,5.1,23675
"42101003300","false",20,485,4.1,27793
"42101003600","false",14,472,3,18019
"42101003701","false",16,444,3.6,35892
"42101003702","false",12,277,4.3,36362
"42101003800","true",NA,162,NA,52238
"42101003901","false",8,293,2.7,37064
"42101003902","true",NA,193,NA,59625
"42101004001","false",6,189,3.2,46309
"42101004002","true",NA,209,NA,44386
"42101004101","false",26,562,4.6,26674
"42101004102","false",45,674,6.7,32895
"42101004201","false",7,215,3.3,45989
"42101004202","true",NA,221,NA,43850
"42101005000","true",NA,NA,NA,NA
"42101005400","false",0,43,0,49891
"42101005500","false",0,254,0,46655
"42101005600","true",NA,114,NA,24167
"42101006000","false",22,452,4.9,31751
"42101006100","false",7,244,2.9,32074
"42101006200","false",25,390,6.4,32972
"42101006300","false",20,365,5.5,24640
"42101006400","false",23,404,5.7,34153
"42101006500","false",23,350,6.6,24350
"42101006600","false",20,315,6.3,23909
"42101006700","false",26,617,4.2,28828
"42101006900","false",14,231,6.1,18077
"42101007000","false",24,273,8.8,26685
"42101007101","false",18,202,8.9,34702
"42101007102","false",31,345,9,28286
"42101007200","false",38,349,10.9,25663
"42101007300","false",17,220,7.7,24611
"42101007400","false",33,285,11.6,20317
"42101007700","true",NA,67,NA,24279
"42101007800","false",11,157,7,38214
"42101007900","false",17,242,7,41440
"42101008000","false",16,246,6.5,31337
"42101008101","false",13,213,6.1,24759
"42101008102","false",31,362,8.6,32478
"42101008200","false",38,454,8.4,38617
"42101008301","false",15,212,7.1,25878
"42101008302","false",22,339,6.5,30075
"42101008400","false",29,308,9.4,27868
"42101008500","false",30,492,6.1,32788
"42101008601","false",7,182,3.8,35341
"42101008602","true",NA,181,NA,31276
"42101008701","false",12,192,6.3,34573
"42101008702","true",NA,87,NA,26837
"42101008801","true",NA,NA,NA,11944
"42101008802","true",NA,46,NA,8993
"42101009000","false",0,25,0,10807
"42101009100","true",NA,101,NA,19732
"42101009200","false",9,223,4,20357
"42101009300","false",19,315,6,23185
"42101009400","false",14,306,4.6,16753
"42101009500","false",11,253,4.3,16383
"42101009600","false",14,314,4.5,23125
"42101009801","false",0,96,0,37875
"42101009802","true",NA,259,NA,53125
"42101010000","false",12,246,4.9,32011
"42101010100","false",15,319,4.7,30601
"42101010200","false",17,235,7.2,13183
"42101010300","false",10,192,5.2,26875
"42101010400","false",16,314,5.1,28750
"42101010500","false",8,208,3.8,20967
"42101010600","false",6,108,5.6,13342
"42101010700","false",11,293,3.8,16105
"42101010800","false",25,287,8.7,15392
"42101010900","true",NA,147,NA,19044
"42101011000","false",20,286,7,18780
"42101011100","false",24,281,8.5,18094
"42101011200","false",20,391,5.1,23936
"42101011300","false",6,140,4.3,31553
"42101011400","false",30,353,8.5,41779
"42101011500","false",18,217,8.3,45156
"42101011700","true",NA,20,0,60156
"42101011800","false",13,237,5.5,41706
"42101011900","false",19,283,6.7,30461
"42101012000","true",NA,34,NA,44961
"42101012100","true",NA,104,NA,31108
"42101012201","false",0,62,0,16107
"42101012203","false",0,48,0,24278
"42101012204","true",NA,121,NA,40938
"42101012500","false",0,150,0,62381
"42101013100","true",NA,102,NA,39868
"42101013200","true",NA,205,NA,18750
"42101013300","false",8,129,6.2,47045
"42101013401","true",NA,52,NA,80060
"42101013402","true",NA,98,NA,76172
"42101013500","false",8,198,4,57530
"42101013601","true",NA,153,NA,117000
"42101013602","true",NA,216,NA,76178
"42101013700","false",22,333,6.6,31370
"42101013800","false",17,157,10.8,26910
"42101013900","false",14,264,5.3,12865
"42101014000","false",7,140,5,20136
"42101014100","true",NA,125,NA,18086
"42101014200","false",6,159,3.8,80154
"42101014300","true",NA,73,NA,57568
"42101014400","false",13,204,6.4,42802
"42101014500","true",NA,111,NA,23664
"42101014600","true",NA,92,NA,24833
"42101014700","false",8,139,5.8,11578
"42101014800","false",6,64,9.4,11989
"42101014900","false",43,332,13,25685
"42101015101","false",22,161,13.7,21000
"42101015102","false",36,386,9.3,12241
"42101015200","false",35,665,5.3,16195
"42101015300","false",8,146,5.5,15609
"42101015600","true",NA,123,NA,20592
"42101015700","false",10,159,6.3,36767
"42101015800","false",10,262,3.8,52931
"42101016000","false",13,343,3.8,45265
"42101016100","false",18,381,4.7,25223
"42101016200","false",11,177,6.2,20040
"42101016300","false",19,309,6.1,12343
"42101016400","false",35,417,8.4,12436
"42101016500","false",29,315,9.2,14894
"42101016600","false",16,102,15.7,15855
"42101016701","false",38,289,13.1,18955
"42101016702","false",21,213,9.9,20565
"42101016800","false",34,291,11.7,27574
"42101016901","false",46,286,16.1,25292
"42101016902","false",59,429,13.8,21035
"42101017000","false",12,142,8.5,25299
"42101017100","false",31,266,11.7,28811
"42101017201","false",29,227,12.8,21096
"42101017202","false",36,298,12.1,21875
"42101017300","false",32,262,12.2,20430
"42101017400","false",27,239,11.3,18319
"42101017500","false",41,685,6,15743
"42101017601","false",30,566,5.3,16531
"42101017602","false",30,390,7.7,17729
"42101017701","false",44,425,10.4,23385
"42101017702","false",41,534,7.7,14907
"42101017800","false",49,636,7.7,20484
"42101017900","false",46,597,7.7,25603
"42101018001","false",6,121,5,35962
"42101018002","false",8,276,2.9,40911
"42101018300","true",NA,89,NA,47578
"42101018400","true",NA,80,NA,48884
"42101018800","false",66,742,8.9,20864
"42101019000","false",33,622,5.3,30702
"42101019100","false",7,571,1.2,29196
"42101019200","false",63,846,7.4,23359
"42101019501","false",28,486,5.8,12791
"42101019502","false",24,348,6.9,18196
"42101019700","false",56,642,8.7,17457
"42101019800","false",49,549,8.9,22607
"42101019900","false",40,430,9.3,20896
"42101020000","false",19,108,17.6,25917
"42101020101","false",36,282,12.8,20528
"42101020102","false",28,246,11.4,32748
"42101020200","false",52,393,13.2,23681
"42101020300","false",34,219,15.5,20435
"42101020400","false",39,238,16.4,24261
"42101020500","false",16,173,9.2,27620
"42101020600","true",NA,59,NA,33854
"42101020700","true",NA,318,NA,56646
"42101020800","true",NA,49,0,39558
"42101020900","false",10,113,8.8,61607
"42101021000","true",NA,176,NA,60820
"42101021100","true",NA,124,NA,63750
"42101021200","true",NA,121,0,63827
"42101021300","false",9,150,6,60278
"42101021400","true",NA,99,NA,64036
"42101021500","true",NA,171,NA,71792
"42101021600","true",NA,96,NA,63274
"42101021700","true",NA,270,NA,57341
"42101021800","true",NA,166,NA,50482
"42101021900","true",NA,47,NA,82038
"42101022000","false",0,38,0,85486
"42101023100","false",0,56,0,124625
"42101023500","true",NA,30,NA,78581
"42101023600","false",7,90,7.8,69286
"42101023700","false",18,185,9.7,52305
"42101023800","false",26,198,13.1,34221
"42101023900","true",NA,49,NA,27583
"42101024000","false",12,157,7.6,36442
"42101024100","true",NA,39,NA,16985
"42101024200","false",42,333,12.6,28947
"42101024300","false",22,256,8.6,24353
"42101024400","false",26,231,11.3,31339
"42101024500","false",44,342,12.9,27556
"42101024600","false",22,199,11.1,24268
"42101024700","false",40,314,12.7,21702
"42101024800","false",8,126,6.3,38048
"42101024900","false",13,227,5.7,31838
"42101025200","false",45,425,10.6,28598
"42101025300","false",26,280,9.3,33404
"42101025400","true",NA,166,NA,45602
