date,time,observer,plot,flower_species,greenhouse,rain,fertilizer,spikes,bumble_bee,honey_bee,sweat_bee,sunflower_bee,other_bee,butterfly,wasp,fly,beetle,anthidium
9/17/2020,12:51,JT,1GHF,goldenrod,1,H,F,50,5,30,0,0,0,0,2,1,1,0
9/17/2020,12:56,JT,1GHU,goldenrod,1,H,U,23,2,4,2,0,0,0,4,0,0,0
9/17/2020,1:02,JT,1GMF,goldenrod,1,M,F,15,6,1,0,0,0,0,0,0,0,0
9/17/2020,1:08,JT,1GLF,goldenrod,1,L,F,13,2,0,1,0,0,0,2,0,0,0
9/17/2020,1:14,JT,2GMF,goldenrod,2,M,F,29,7,15,2,0,0,0,1,0,2,0
9/17/2020,1:20,JT,2GHF,goldenrod,2,H,F,23,9,15,0,0,0,0,4,0,0,0
9/17/2020,1:37,JT,2GLF,goldenrod,2,L,F,31,3,7,0,0,0,0,3,0,1,0
9/17/2020,1:42,JT,3GMU,goldenrod,3,M,U,11,3,11,1,0,0,0,1,0,1,0
9/17/2020,1:48,JT,3GHU,goldenrod,3,H,U,31,10,20,1,0,1,0,5,1,0,0
9/17/2020,1:53,JT,3GHF,goldenrod,3,H,F,14,5,4,1,0,0,0,1,0,0,0
9/19/2020,12:40,JT,3GMF,goldenrod,3,M,F,10,5,6,0,0,1,0,0,0,0,0
9/19/2020,12:45,JT,3GMU,goldenrod,3,M,U,20,17,13,0,0,1,0,1,0,1,0
9/19/2020,12:50,JT,3GHF,goldenrod,3,H,F,20,9,12,0,0,0,0,1,0,0,0
9/19/2020,12:55,JT,3GHU,goldenrod,3,H,U,35,13,23,0,0,0,0,1,0,0,0
9/19/2020,1:00,JT,2GMF,goldenrod,2,M,F,34,6,15,0,0,0,0,2,2,1,0
9/19/2020,1:05,JT,2GHF,goldenrod,2,H,F,21,7,14,2,0,0,0,2,0,2,0
9/19/2020,1:10,JT,2GLF,goldenrod,2,L,F,34,1,8,0,0,0,0,2,0,0,0
9/19/2020,1:15,JT,1GHF,goldenrod,1,H,F,50,12,31,0,0,0,0,1,0,2,0
9/19/2020,1:20,JT,1GHU,goldenrod,1,H,U,28,5,8,0,0,0,0,2,2,0,0
9/19/2020,1:25,JT,1GMF,goldenrod,1,M,F,13,2,6,1,0,0,0,1,1,0,0
9/19/2020,1:30,JT,1GLF,goldenrod,1,L,F,20,5,3,0,0,0,0,2,0,0,0
9/23/2020,11:34,CD,1GHF,goldenrod,1,H,F,52,10,17,1,0,2,0,2,1,1,0
9/23/2020,11:27,CD,1GHU,goldenrod,1,H,U,33,14,14,1,0,3,0,2,4,0,0
9/23/2020,11:42,CD,3GLU,goldenrod,3,L,U,3,1,0,1,0,0,0,0,1,0,0
9/23/2020,11:56,CD,3GMF,goldenrod,3,M,F,34,7,7,3,0,0,0,0,7,0,0
9/23/2020,11:48,CD,3GMU,goldenrod,3,M,U,30,4,7,1,0,1,0,1,5,1,0
9/23/2020,12:02,CD,1GHF,goldenrod,1,H,F,35,11,10,0,0,0,0,1,5,3,0
9/23/2020,12:08,CD,1GHU,goldenrod,1,H,U,41,14,10,2,0,1,0,0,2,0,0
9/23/2020,10:28,CD,2GMF,goldenrod,2,M,F,36,6,8,3,0,0,0,0,0,1,0
9/23/2020,10:37,CD,2GMU,goldenrod,2,M,U,5,5,4,1,0,0,0,0,1,0,0
9/23/2020,10:42,CD,2GLF,goldenrod,2,L,F,43,4,1,3,0,0,0,2,3,0,0
9/23/2020,10:47,CD,2GLU,goldenrod,2,L,U,19,3,3,0,0,2,0,0,3,0,0
9/23/2020,10:53,CD,2GHF,goldenrod,2,H,F,30,8,12,2,0,0,0,1,2,1,0
9/23/2020,10:59,CD,2GHU,goldenrod,2,H,U,30,2,9,2,0,0,0,2,4,0,0
9/23/2020,11:05,CD,1GLF,goldenrod,1,L,F,25,7,5,3,0,0,0,1,1,0,0
