date,plot_time,section_order,treatment,section_ID,no_carolinus
6/16/19,22:30,1,B,A,0
6/16/19,22:30,2,B,B,0
6/16/19,22:30,3,B,C,0
6/16/19,22:30,4,B,D,0
6/16/19,22:30,5,B,D,0
6/16/19,22:30,6,B,C,0
6/16/19,22:30,7,B,B,0
6/16/19,22:30,8,B,A,0
6/16/19,22:45,1,D,A,1
6/16/19,22:45,2,D,B,0
6/16/19,22:45,3,D,C,0
6/16/19,22:45,4,D,D,0
6/16/19,22:45,5,D,D,0
6/16/19,22:45,6,D,C,3
6/16/19,22:45,7,D,B,0
6/16/19,22:45,8,D,A,3
6/16/19,23:00,1,A,A,0
6/16/19,23:00,2,A,B,0
6/16/19,23:00,3,A,C,0
6/16/19,23:00,4,A,D,0
6/16/19,23:00,5,A,D,0
6/16/19,23:00,6,A,C,0
6/16/19,23:00,7,A,B,0
6/16/19,23:00,8,A,A,0
6/16/19,23:15,1,R,A,2
6/16/19,23:15,2,R,B,0
6/16/19,23:15,3,R,C,1
6/16/19,23:15,4,R,D,0
6/16/19,23:15,5,R,D,0
6/16/19,23:15,6,R,C,0
6/16/19,23:15,7,R,B,0
6/16/19,23:15,8,R,A,0
6/17/19,22:00,1,D,A,0
6/17/19,22:00,2,D,B,0
6/17/19,22:00,3,D,D,0
6/17/19,22:00,4,D,C,0
6/17/19,22:00,5,D,A,0
6/17/19,22:00,6,D,D,0
6/17/19,22:00,7,D,C,0
6/17/19,22:00,8,D,B,2
6/17/19,22:15,1,R,C,0
6/17/19,22:15,2,R,D,0
6/17/19,22:15,3,R,B,0
6/17/19,22:15,4,R,A,0
6/17/19,22:15,5,R,B,0
6/17/19,22:15,6,R,D,0
6/17/19,22:15,7,R,C,0
6/17/19,22:15,8,R,A,0
6/17/19,22:30,1,A,D,0
6/17/19,22:30,2,A,C,0
6/17/19,22:30,3,A,A,0
6/17/19,22:30,4,A,B,0
6/17/19,22:30,5,A,C,0
6/17/19,22:30,6,A,B,0
6/17/19,22:30,7,A,A,0
6/17/19,22:30,8,A,D,0
6/17/19,22:45,1,B,C,0
6/17/19,22:45,2,B,D,0
6/17/19,22:45,3,B,B,0
6/17/19,22:45,4,B,A,0
6/17/19,22:45,5,B,A,0
6/17/19,22:45,6,B,B,0
6/17/19,22:45,7,B,C,0
6/17/19,22:45,8,B,D,0
6/17/19,23:00,1,R,B,0
6/17/19,23:00,2,R,C,1
6/17/19,23:00,3,R,A,0
6/17/19,23:00,4,R,D,0
6/17/19,23:00,5,R,B,0
6/17/19,23:00,6,R,D,0
6/17/19,23:00,7,R,A,0
6/17/19,23:00,8,R,C,0
6/17/19,23:15,1,D,B,3
6/17/19,23:15,2,D,A,0
6/17/19,23:15,3,D,C,2
6/17/19,23:15,4,D,D,0
6/17/19,23:15,5,D,A,0
6/17/19,23:15,6,D,C,2
6/17/19,23:15,7,D,D,1
6/17/19,23:15,8,D,B,2
6/17/19,23:30,1,B,A,0
6/17/19,23:30,2,B,C,0
6/17/19,23:30,3,B,D,0
6/17/19,23:30,4,B,B,0
6/17/19,23:30,5,B,D,0
6/17/19,23:30,6,B,A,1
6/17/19,23:30,7,B,B,1
6/17/19,23:30,8,B,C,0
6/17/19,23:45,1,A,D,0
6/17/19,23:45,2,A,B,0
6/17/19,23:45,3,A,C,0
6/17/19,23:45,4,A,A,0
6/17/19,23:45,5,A,D,0
6/17/19,23:45,6,A,B,0
6/17/19,23:45,7,A,C,0
6/17/19,23:45,8,A,A,0
6/17/19,22:00,1,B,D,0
6/17/19,22:00,2,B,A,0
6/17/19,22:00,3,B,C,0
6/17/19,22:00,4,B,B,0
6/17/19,22:00,5,B,C,0
6/17/19,22:00,6,B,B,0
6/17/19,22:00,7,B,D,0
6/17/19,22:00,8,B,A,0
6/17/19,22:15,1,A,A,0
6/17/19,22:15,2,A,B,0
6/17/19,22:15,3,A,C,0
6/17/19,22:15,4,A,D,0
6/17/19,22:15,5,A,B,0
6/17/19,22:15,6,A,D,0
6/17/19,22:15,7,A,C,0
6/17/19,22:15,8,A,A,0
6/17/19,22:30,1,R,B,0
6/17/19,22:30,2,R,C,0
6/17/19,22:30,3,R,A,0
6/17/19,22:30,4,R,D,1
6/17/19,22:30,5,R,A,0
6/17/19,22:30,6,R,D,0
6/17/19,22:30,7,R,B,0
6/17/19,22:30,8,R,C,0
6/17/19,22:45,1,A,C,0
6/17/19,22:45,2,A,B,0
6/17/19,22:45,3,A,A,1
6/17/19,22:45,4,A,D,0
6/17/19,22:45,5,A,B,0
6/17/19,22:45,6,A,A,0
6/17/19,22:45,7,A,C,0
6/17/19,22:45,8,A,D,1
6/17/19,23:00,1,D,C,1
6/17/19,23:00,2,D,D,3
6/17/19,23:00,3,D,B,4
6/17/19,23:00,4,D,A,2
6/17/19,23:00,5,D,C,3
6/17/19,23:00,6,D,A,0
6/17/19,23:00,7,D,D,0
6/17/19,23:00,8,D,B,3
6/17/19,23:15,1,B,D,0
6/17/19,23:15,2,B,C,0
6/17/19,23:15,3,B,B,0
6/17/19,23:15,4,B,A,0
6/17/19,23:15,5,B,A,0
6/17/19,23:15,6,B,B,0
6/17/19,23:15,7,B,C,0
6/17/19,23:15,8,B,D,0
6/17/19,23:30,1,D,B,2
6/17/19,23:30,2,D,A,1
6/17/19,23:30,3,D,C,2
6/17/19,23:30,4,D,D,0
6/17/19,23:30,5,D,A,2
6/17/19,23:30,6,D,C,2
6/17/19,23:30,7,D,D,1
6/17/19,23:30,8,D,B,0
6/17/19,23:45,1,R,B,0
6/17/19,23:45,2,R,A,0
6/17/19,23:45,3,R,D,5
6/17/19,23:45,4,R,C,0
6/17/19,23:45,5,R,A,1
6/17/19,23:45,6,R,D,1
6/17/19,23:45,7,R,B,0
6/17/19,23:45,8,R,C,0
6/18/19,22:00,1,A,B,0
6/18/19,22:00,2,A,A,0
6/18/19,22:00,3,A,D,0
6/18/19,22:00,4,A,C,0
6/18/19,22:00,5,A,D,0
6/18/19,22:00,6,A,A,0
6/18/19,22:00,7,A,C,0
6/18/19,22:00,8,A,B,0
6/18/19,22:15,1,B,B,0
6/18/19,22:15,2,B,D,0
6/18/19,22:15,3,B,A,1
6/18/19,22:15,4,B,C,0
6/18/19,22:15,5,B,C,0
6/18/19,22:15,6,B,B,0
6/18/19,22:15,7,B,A,0
6/18/19,22:15,8,B,D,1
6/18/19,22:30,1,D,C,0
6/18/19,22:30,2,D,B,1
6/18/19,22:30,3,D,A,0
6/18/19,22:30,4,D,D,0
6/18/19,22:30,5,D,D,0
6/18/19,22:30,6,D,B,0
6/18/19,22:30,7,D,A,1
6/18/19,22:30,8,D,C,2
6/18/19,22:45,1,A,D,1
6/18/19,22:45,2,A,B,0
6/18/19,22:45,3,A,A,0
6/18/19,22:45,4,A,C,1
6/18/19,22:45,5,A,B,0
6/18/19,22:45,6,A,C,0
6/18/19,22:45,7,A,D,0
