date,hive_ID,treatment,frame,brood,area_cm2
2019-06-14,1,heat,top,125,31.57
2019-06-14,2,heat,bottom,22,5.81
2019-06-14,3,heat,bottom,25,6.31
2019-06-14,4,heat,top,97,24.75
2019-06-14,5,heat,bottom,80,20.2
2019-06-14,6,heat,top,77,19.44
2019-06-14,7,heat,top,70,17.68
2019-06-14,8,heat,bottom,33,8.33
2019-06-14,1,control,bottom,117,30.05
2019-06-14,2,control,top,96,24.24
2019-06-14,3,control,top,59,14.9
2019-06-14,4,control,bottom,103,29.55
2019-06-14,5,control,top,31,8.08
2019-06-14,6,control,bottom,63,19.7
2019-06-14,7,control,bottom,58,14.65
2019-06-14,8,control,top,23,6.06
2019-06-21,1,heat,top,128,32.58
2019-06-21,2,heat,bottom,73,18.43
2019-06-21,3,heat,bottom,88,22.48
2019-06-21,4,heat,top,124,34.09
2019-06-21,5,heat,bottom,75,22.48
2019-06-21,6,heat,top,100,25.76
2019-06-21,7,heat,top,57,21.97
2019-06-21,8,heat,bottom,85,25.76
2019-06-21,1,control,bottom,81,20.45
2019-06-21,2,control,top,58,14.65
2019-06-21,3,control,top,118,29.8
2019-06-21,4,control,bottom,96,27.27
2019-06-21,5,control,top,120,31.57
2019-06-21,6,control,bottom,111,29.29
2019-06-21,7,control,bottom,128,33.08
2019-06-21,8,control,top,151,38.89
2019-06-28,1,heat,top,16,4.8
2019-06-28,2,heat,bottom,102,27.53
2019-06-28,3,heat,bottom,98,26.52
2019-06-28,4,heat,top,118,37.12
2019-06-28,5,heat,bottom,71,23.74
2019-06-28,6,heat,top,64,16.92
2019-06-28,7,heat,top,48,17.42
2019-06-28,8,heat,bottom,98,30.56
2019-06-28,1,control,bottom,83,21.72
2019-06-28,2,control,top,75,20.96
2019-06-28,3,control,top,94,25.76
2019-06-28,4,control,bottom,19,7.58
2019-06-28,5,control,top,130,33.33
2019-06-28,6,control,bottom,60,17.93
2019-06-28,7,control,bottom,93,28.28
2019-06-28,8,control,top,124,32.32
2019-07-04,1,heat,top,80,21.47
2019-07-04,2,heat,bottom,79,27.27
2019-07-04,3,heat,bottom,15,29.8
2019-07-04,4,heat,top,49,22.73
2019-07-04,5,heat,bottom,74,30.3
2019-07-04,6,heat,top,106,27.53
2019-07-04,7,heat,top,68,29.8
2019-07-04,8,heat,bottom,55,30.3
2019-07-04,1,control,bottom,98,24.75
2019-07-04,2,control,top,78,21.47
2019-07-04,3,control,top,52,19.44
2019-07-04,4,control,bottom,109,31.57
2019-07-04,5,control,top,66,17.68
2019-07-04,6,control,bottom,77,23.23
2019-07-04,7,control,bottom,50,16.92
2019-07-04,8,control,top,24,6.57
2019-07-11,1,heat,top,80,20.45
2019-07-11,2,heat,bottom,8,17.17
2019-07-11,3,heat,bottom,8,17.42
2019-07-11,4,heat,top,86,32.83
2019-07-11,5,heat,bottom,55,25.51
2019-07-11,6,heat,top,85,21.72
2019-07-11,7,heat,top,43,30.3
2019-07-11,8,heat,bottom,45,22.22
2019-07-11,1,control,bottom,66,17.17
2019-07-11,2,control,top,24,12.37
2019-07-11,3,control,top,34,18.18
2019-07-11,4,control,bottom,129,33.59
2019-07-11,5,control,top,99,29.55
2019-07-11,6,control,bottom,70,19.19
2019-07-11,7,control,bottom,89,27.53
2019-07-11,8,control,top,141,35.61
2019-07-17,1,heat,top,23,9.85
2019-07-17,2,heat,bottom,0,7.32
2019-07-17,3,heat,bottom,1,16.92
2019-07-17,4,heat,top,71,26.26
2019-07-17,5,heat,bottom,56,22.73
2019-07-17,6,heat,top,28,22.73
2019-07-17,7,heat,top,0,31.06
2019-07-17,8,heat,bottom,53,28.28
2019-07-17,1,control,bottom,61,15.91
2019-07-17,2,control,top,5,11.36
2019-07-17,3,control,top,13,8.33
2019-07-17,4,control,bottom,41,19.19
2019-07-17,5,control,top,100,28.28
2019-07-17,6,control,bottom,47,12.63
2019-07-17,7,control,bottom,102,27.27
2019-07-17,8,control,top,133,34.09
2019-07-25,1,heat,top,11,17.17
2019-07-25,2,heat,bottom,2,2.53
2019-07-25,3,heat,bottom,26,20.71
2019-07-25,4,heat,top,18,21.21
2019-07-25,5,heat,bottom,107,31.57
2019-07-25,6,heat,top,0,35.1
2019-07-25,7,heat,top,0,39.14
