ID,treatment,start,pupation,metamorphosis,death,weight,sex
A1,A,5/30/18,NA,NA,NA,0.0286,L
A2,A,5/30/18,NA,NA,7/6/18,NA,NA
A3,A,5/30/18,6/8/18,6/18/18,NA,0.0613,F
A4,A,5/30/18,NA,NA,NA,0.0734,L
A5,A,5/30/18,6/4/18,6/13/18,NA,0.0521,M
A6,A,5/30/18,6/28/18,7/8/18,NA,0.0872,F
A7,A,5/30/18,6/9/18,6/18/18,NA,0.0766,F
A8,A,5/30/18,6/5/18,6/15/18,NA,0.0645,M
A9,A,5/30/18,NA,NA,NA,0.0624,L
A10,A,5/30/18,NA,NA,NA,0.0676,L
A11,A,5/30/18,6/3/18,6/13/18,NA,0.067,M
A12,A,5/30/18,6/1/18,6/10/18,NA,0.0667,F
A13,A,5/30/18,NA,NA,NA,0.0633,L
A14,A,5/30/18,NA,NA,NA,0.0856,L
A15,A,5/30/18,5/31/18,6/9/18,NA,0.0479,M
B1,B,5/30/18,6/1/18,6/10/18,NA,0.0567,M
B2,B,5/30/18,NA,NA,NA,0.0772,L
B3,B,5/30/18,6/4/18,6/13/18,NA,0.0545,M
B4,B,5/30/18,NA,NA,NA,0.0859,L
B5,B,5/30/18,NA,NA,NA,0.083,L
B6,B,5/30/18,NA,NA,NA,0.05563,L
B7,B,5/30/18,6/5/18,6/21/18,NA,0.0349,M
B8,B,5/30/18,NA,NA,NA,0.0915,L
B9,B,5/30/18,6/4/18,6/13/18,NA,0.0475,M
B10,B,5/30/18,6/8/18,6/19/18,6/19/18,0.033,M
B11,B,5/30/18,NA,NA,NA,0.062,L
B12,B,5/30/18,6/16/18,6/26/18,NA,0.0777,M
B13,B,5/30/18,NA,NA,NA,0.0496,L
B14,B,5/30/18,6/10/18,6/20/18,NA,0.0426,M
B15,B,5/30/18,NA,NA,NA,0.0796,L
C1,C,5/30/18,6/7/18,6/15/18,NA,0.071,F
C2,C,5/30/18,6/8/18,6/17/18,NA,0.0609,F
C3,C,5/30/18,6/1/18,6/10/18,NA,0.0588,M
C4,C,5/30/18,6/7/18,6/16/18,NA,0.0514,M
C5,C,5/30/18,NA,NA,NA,0.0653,L
C6,C,5/30/18,6/10/18,6/19/18,NA,0.0771,F
C7,C,5/30/18,NA,NA,NA,0.0675,L
C8,C,5/30/18,6/23/18,NA,6/28/18,NA,NA
C9,C,5/30/18,6/9/18,6/18/18,NA,0.0828,F
C10,C,5/30/18,NA,NA,NA,0.0881,L
C11,C,5/30/18,6/15/18,6/24/18,NA,0.07513,F
C12,C,5/30/18,NA,NA,NA,0.0221,L
C13,C,5/30/18,6/13/18,6/21/18,NA,0.0538,M
C14,C,5/30/18,6/3/18,6/12/18,NA,0.0459,M
C15,C,5/30/18,6/1/18,6/9/18,NA,0.0533,M
D1,D,5/30/18,6/2/18,6/11/18,NA,0.0658,M
D2,D,5/30/18,6/7/18,6/16/18,NA,0.0576,F
D3,D,5/30/18,6/15/18,6/25/18,NA,0.0891,F
D4,D,5/30/18,6/8/18,6/17/18,NA,0.0504,M
D5,D,5/30/18,NA,NA,NA,0.0514,L
D6,D,5/30/18,6/6/18,6/15/18,NA,0.0736,F
D7,D,5/30/18,6/3/18,6/13/18,NA,0.0892,F
D8,D,5/30/18,6/8/18,6/17/18,NA,0.0806,F
D9,D,5/30/18,NA,NA,NA,0.0703,L
D10,D,5/30/18,NA,NA,NA,0.0632,L
D11,D,5/30/18,6/2/18,6/12/18,NA,0.0525,M
D12,D,5/30/18,NA,NA,NA,0.07553,L
D13,D,5/30/18,6/12/18,6/21/18,NA,0.0808,M
D14,D,5/30/18,6/5/18,NA,6/14/18,NA,NA
D15,D,5/30/18,NA,NA,NA,0.0475,L
