SITE,SPECIES,ALIVE2014,DAMAGE
BAN,acator,1,0.916290732
BAN,acator,1,1.819163849
BAN,acator,1,0.510845624
BAN,acator,0,1.504077397
BAN,acator,1,0.287657072
BAN,acator,1,1.763582878
BAN,acator,0,1.722766598
BAN,acator,0,1.466329376
BAN,acator,0,2.302585093
BAN,acator,0,0
BAN,acator,1,1.098612289
BAN,acator,0,2.140066163
BAN,acator,0,1.871802177
BAN,acator,1,0.78845736
BAN,aacarob,1,0.287657072
BAN,acasen,0,2.079441542
BAN,comtro,1,0.287657072
BAN,aacarob,1,0.606117622
BAN,aacarob,1,0.154179251
BAN,acator,1,1.252762968
BAN,comtro,1,0
BAN,comtro,1,0.916290732
BAN,comtro,1,1.098612289
BAN,comtro,0,1.704748092
BAN,aacarob,1,1.04144211
BAN,comtro,1,1.098612289
BAN,aacarob,1,0.154179251
BAN,acasen,0,2.197224577
BAN,comtro,1,0.287657072
BAN,aacarob,1,0
BAN,aacarob,1,0.510845624
BAN,aacarob,1,0.510845624
BAN,aacarob,1,0
BAN,acator,0,1.098612289
BAN,acasen,0,1.575529464
BAN,acasen,0,1.945910149
BAN,acasen,0,1.609437912
BAN,acator,0,0.693147181
BAN,acasen,0,1.252762968
BAN,acator,1,1.540452184
BAN,aacarob,1,1.252762968
BAN,aacarob,1,0.287657072
BAN,acator,0,1.526056303
BAN,aacarob,1,1.343726051
BAN,aacarob,0,1.466329376
BAN,acager,0,2.302585093
BAN,acasen,0,1.575529464
BAN,acasen,0,1.757857918
BAN,acager,0,1.466329376
BAN,acasen,0,1.427124356
BAN,acasen,0,1.734606938
BAN,acasen,0,1.609437912
BAN,acasen,0,2.251291799
BAN,acator,1,0.405465108
BAN,acator,1,1.203962804
BAN,acator,1,1.504077397
BAN,acator,1,1.299292075
BAN,balaeg,1,0.510845624
BAN,ormtri,0,1.386294361
BAN,acasen,0,1.504077397
BIL,acator,1,0
BIL,ormtri,0,1.427124356
BIL,acasen,0,2.014903021
BIL,acasen,0,2.302585093
BIL,acasen,0,2.159488095
BIL,acasen,0,2.251291799
BIL,balaeg,1,0
BIL,balaeg,1,0
BIL,acator,0,1.992425619
BIL,acator,0,0
BIL,acasen,0,2.302585093
BIL,acasen,0,2.079441542
BIL,acasen,0,2.302585093
BIL,acator,0,0
BIL,acator,1,1.575529464
BIL,acasen,0,2.26868699
BIL,balaeg,1,1.427124356
BIL,balaeg,1,1.466329376
BIL,aacarob,1,0.510845624
BIL,comtro,1,1.04144211
BIL,acator,1,1.386294361
BIL,aacarob,1,0.980841753
BIL,acator,1,1.252762968
BIL,acasen,0,1.757857918
BIL,acasen,0,2.028148247
BIL,acator,0,0.510845624
BIL,acasen,0,1.931521412
BIL,acator,0,1.32175584
BIL,acator,0,1.992425619
BIL,acasen,0,2.079441542
BIL,acasen,0,2.00148
BIL,acasen,0,1.960094784
BIL,acasen,0,1.85629799
BIL,acator,1,1.386294361
BIL,balaeg,1,0
BIL,acadre,0,0
BIL,acadre,0,2.014903021
BIL,acasen,0,1.673970184
BIL,acasen,0,1.845821427
BIL,aacarob,1,0
BIL,aacarob,1,0.980841753
BIL,aacarob,1,0.773205273
BIL,aacarob,1,1.343726051
BIL,aacarob,0,1.648658626
BIL,aacarob,1,0.510845624
BIL,aacarob,1,0.916290732
BIL,aacarob,1,0.405465108
BIL,acager,0,1.252762968
BIL,aacarob,1,1.203962804
BIL,aacarob,1,0
BIL,acasen,0,1.558144618
BIL,acager,0,1.526056303
BIL,ormtri,0,1.575529464
BIL,acager,0,1.252762968
BIL,aacarob,1,1.04144211
BIL,comtro,1,0
BIL,acasen,0,1.945910149
BIL,comtro,1,1.04144211
BIL,aacarob,1,1.098612289
BIL,aacarob,1,0
BIL,aacarob,1,0.693147181
BIL,aacarob,1,1.427124356
BIL,aacarob,1,0.336472237
BIL,aacarob,1,0
BIL,acator,1,1.568615918
