QuadName,trackID,year,area,survives,age,Grazing
E1 Q1,1,32,47.167801358278,1,1,UG
E1 Q1,1,33,61.684482519634,1,2,UG
E1 Q1,1,34,31.3722549131138,1,3,UG
E1 Q1,1,35,53.9055884750234,1,4,UG
E1 Q1,1,36,32.7496825566915,1,5,UG
E1 Q1,1,37,39.8014413636374,1,6,UG
E1 Q1,1,38,49.5807676062001,1,7,UG
E1 Q1,1,39,56.0206151802917,1,8,UG
E1 Q1,1,40,98.0860501143933,1,9,UG
E1 Q1,1,41,88.3022661746847,1,10,UG
E1 Q1,1,45,234.960092459663,1,14,UG
E1 Q1,1,46,97.9425528294286,0,15,UG
P1 E1 Q4,15,35,0.25,0,1,UG
P1 Q1,31,56,15.2300892911844,1,1,G
P1 Q2,15,35,0.25,0,1,G
P1 Q3,40,56,0.2074516679674,0,1,G
P1 Q4,15,30,90.2291421054551,1,1,G
P1 Q4,15,31,116.894844933525,1,2,G
P1 Q4,15,32,163.177244585505,1,3,G
P1 Q4,15,33,348.220322153839,1,4,G
P1 Q4,15,34,136.036480185047,1,5,G
P1 Q4,22,35,9.7096937971946,0,1,G
P1 Q4,15,35,322.306900284172,1,6,G
P1 Q4,15,36,249.683684498173,1,7,G
P1 Q4,15,37,301.523653193337,1,8,G
P1 Q4,15,38,238.290693928567,1,9,G
P1 Q4,15,39,389.67603105844,1,10,G
P1 Q4,15,40,281.3071522583,1,11,G
P1 Q4,15,41,142.715875851592,1,12,G
P1 Q4,97,45,0.25,0,1,G
P1 Q4,15,45,282.918790150856,1,16,G
P1 Q4,15,46,230.583221446217,1,17,G
P1 Q4,15,49,121.795737695001,1,20,G
P2 Q1,22,30,5.3142,1,1,G
P2 Q1,22,31,14.7975,1,2,G
P2 Q1,22,34,35.7922,1,5,G
P2 Q1,49,56,63.39885,0,1,G
P2 Q1,52,56,208.069619648493,1,1,G
P2 Q2,31,34,46.2418980554934,1,1,G
P2 Q2,86,56,920.688818620337,1,1,G
P2 Q2,79,56,0.2483282613277,0,1,G
P2 Q3,31,30,10.9154226097613,1,1,G
P2 Q3,31,31,23.7960249351579,1,2,G
P2 Q3,31,34,85.539376546932,1,5,G
P2 Q3,57,56,0.442096732119,0,1,G
P2 Q3,66,56,404.348434382461,1,1,G
P2 Q4,40,34,0.25,0,1,G
P7 E1 Q1,40,26,4.70562291647483,0,4,UG
P7 E1 Q1,49,35,42.4321880235399,1,1,UG
P7 E1 Q1,49,36,49.7733953644145,1,2,UG
P7 E1 Q1,49,37,91.7055131741725,1,3,UG
P7 E1 Q1,49,38,125.634293803687,1,4,UG
P7 E1 Q1,52,38,3.0270645506956,1,2,UG
P7 E1 Q1,52,39,0.25,1,3,UG
P7 E1 Q1,49,39,112.12758942887601,1,5,UG
P7 E1 Q1,49,40,173.538895998907,1,6,UG
P7 E1 Q1,52,40,0.25,1,4,UG
P7 E1 Q1,52,41,5.3925883756265,1,5,UG
P7 E1 Q1,49,41,288.116506448231,1,7,UG
P7 E1 Q1,49,45,880.110757059906,1,11,UG
P7 E1 Q1,49,46,609.006227520502,1,12,UG
P7 E1 Q1,49,49,399.17476718692,1,15,UG
P7 E1 Q1,49,50,577.862674064851,1,16,UG
P7 E1 Q1,49,51,500.892626543289,1,17,UG
P7 E1 Q1,49,54,676.307599844578,1,20,UG
P7 E1 Q1,117,54,183.778256060128,1,1,UG
P7 E1 Q1,117,55,173.662025858643,1,2,UG
P7 E1 Q1,49,55,850.40302336205,1,21,UG
E1 Q2,49,34,5.16991237311196,1,1,UG
E1 Q2,49,35,27.6864411485501,1,2,UG
E1 Q2,52,35,34.979762955048,1,1,UG
E1 Q2,52,36,29.9515238406108,1,2,UG
E1 Q2,49,36,60.2669282421026,1,3,UG
E1 Q2,49,37,66.5253749934217,1,4,UG
E1 Q2,52,37,18.5458875960155,1,3,UG
E1 Q2,49,38,153.442041030713,1,5,UG
E1 Q2,52,38,41.8932404498496,1,4,UG
E1 Q2,52,39,3.9321521995797,1,5,UG
E1 Q2,86,39,2.6569652397856,1,3,UG
E1 Q2,49,39,149.652100805083,1,6,UG
E1 Q2,49,40,209.952346729987,1,7,UG
E1 Q2,52,40,3.4759761698329,0,6,UG
E1 Q2,86,40,12.0984496325268,0,4,UG
E1 Q2,49,41,208.325058329932,1,8,UG
E1 Q2,49,45,559.483114569017,1,12,UG
E1 Q2,49,46,320.64465233145,1,13,UG
E1 Q2,49,49,175.711981112639,1,16,UG
E1 Q2,49,50,118.617383951299,1,17,UG
E1 Q2,49,51,165.512940189653,1,18,UG
E1 Q2,49,54,153.377758072747,1,21,UG
E1 Q2,49,55,147.758851073561,1,22,UG
P7 E1 Q2,49,26,3.90901125687607,1,4,UG
P7 E1 Q2,49,29,100.879537932481,1,7,UG
P7 E1 Q2,49,30,172.604683466165,1,8,UG
P7 E1 Q2,49,31,219.952644483946,1,9,UG
P7 E1 Q2,49,32,386.442756549777,1,10,UG
P7 E1 Q2,49,33,904.052051213812,1,11,UG
P7 E1 Q2,49,34,781.867278806472,1,12,UG
P7 E1 Q2,49,35,1195.92043960592,1,13,UG
P7 E1 Q2,49,36,1005.28097622015,1,14,UG
P7 E1 Q2,49,37,1029.17535882178,1,15,UG
P7 E1 Q2,49,38,925.664079638432,1,16,UG
P7 E1 Q2,49,39,916.958282607206,1,17,UG
P7 E1 Q2,49,40,1115.46609334899,1,18,UG
P7 E1 Q2,49,41,1825.02265306248,1,19,UG
P7 E1 Q2,49,45,1417.46589046512,1,23,UG
P7 E1 Q2,49,46,890.469281367725,1,24,UG
P7 E1 Q2,49,49,212.739840556534,1,27,UG
P7 E1 Q2,49,50,210.924973933243,1,28,UG
P7 E1 Q2,49,51,84.0704720335953,1,29,UG
P7 E1 Q2,49,54,39.5184010279747,1,32,UG
P7 E1 Q2,49,55,28.7525527785988,1,33,UG
P7 E1 Q3,57,31,87.6570626813216,1,1,UG
P7 E1 Q3,57,32,89.9311644099546,1,2,UG
P7 E1 Q3,57,33,98.0426039666046,0,3,UG
P7 E1 Q4,57,30,388.308304211833,1,1,UG
P7 E1 Q4,57,31,373.742950120293,1,2,UG
P7 E1 Q4,57,32,492.509518263214,1,3,UG
P7 E1 Q4,57,33,415.313143161187,1,4,UG
P7 E1 Q4,57,34,438.56438145148,1,5,UG
P7 E1 Q4,57,35,898.116450315037,1,6,UG
P7 E1 Q4,57,36,792.928316209496,1,7,UG
P7 E1 Q4,57,37,1037.68642252926,1,8,UG
