Year,DormID,lat,lon,ele,larv_orig,dorm_loc,treatment,N.emerged,N.init,Notes
2013,3,42.485563,-71.568568,125.556816,P,T,P_T,4,5,
2013,4,42.485571,-71.568556,123.149231,P,T,P_T,4,5,
2013,8,42.484809,-71.568764,119.517448,P,P,P_P,3,5,
2013,9,42.485536,-71.568485,123.001518,T,T,T_T,4,5,
2013,10,42.485642,-71.568613,125.702049,T,T,T_T,3,5,
2013,12,42.485534,-71.568479,122.847595,P,T,P_T,4,5,
2013,14,42.48561,-71.568534,126.248627,T,T,T_T,4,5,
2013,15,42.485299,-71.568759,122.90728,T,P,T_P,3,5,
2013,16,42.485327,-71.568757,122.351921,P,P,P_P,1,5,
2013,18,42.485286,-71.568722,121.834518,P,P,P_P,3,5,
2013,21,42.485624,-71.568538,127.425133,P,T,P_T,2,5,
2013,23,42.485602,-71.568809,130.509705,P,P,P_P,3,5,
2013,24,42.485648,-71.568602,126.349747,P,T,P_T,4,5,
2013,25,42.48452,-71.569311,117.563324,P,T,P_T,3,5,
2013,27,42.48465,-71.568995,116.558723,T,T,T_T,5,5,
2013,29,42.485627,-71.568783,128.236786,T,P,T_P,2,5,
2013,30,42.484794,-71.568804,119.178238,T,P,T_P,4,5,
2013,31,42.484611,-71.568864,117.327217,P,T,P_T,5,5,
2013,32,42.484962,-71.568996,120.850197,P,P,P_P,4,5,
2013,33,42.484972,-71.568906,117.996597,P,P,P_P,4,5,
2013,36,42.484622,-71.56889,116.092026,P,T,P_T,5,5,
2013,37,42.484838,-71.569112,121.369949,P,P,P_P,4,5,
2013,40,42.48449,-71.569276,117.345062,P,T,P_T,4,5,
2013,41,42.484805,-71.569096,121.222961,P,P,P_P,5,5,
2013,43,42.484957,-71.569006,120.652557,T,P,T_P,2,5,
2013,46,42.485612,-71.568506,126.956078,P,T,P_T,5,5,
2013,47,42.485673,-71.568739,126.999672,P,P,P_P,4,5,
2013,48,42.484811,-71.568797,119.538513,P,P,P_P,3,5,
2012,1,42.484582,-71.568922,NA,T,T,T_T,3,4,
2012,2,42.484755,-71.568807,NA,T,P,T_P,2,4,
2012,3,42.485605,-71.56883,NA,T,P,T_P,2,4,
2012,5,42.484864,-71.568877,NA,T,P,T_P,1,4,
2012,6,42.484814,-71.568845,NA,T,P,T_P,2,4,
2012,7,42.484766,-71.568751,NA,T,P,T_P,1,4,
2012,8,42.484908,-71.568992,NA,T,P,T_P,1,4,
2012,9,42.48527,-71.568754,NA,T,P,T_P,2,4,
2012,10,42.485512,-71.568618,NA,T,T,T_T,1,4,host depleted; DROP
2012,13,42.48492,-71.568794,NA,T,P,T_P,4,4,
2012,14,42.485549,-71.56878,NA,T,P,T_P,1,4,
2012,15,42.485576,-71.568586,NA,T,T,T_T,2,4,
2012,16,42.485295,-71.568767,NA,T,P,T_P,2,4,
2012,18,42.48458,-71.5689,NA,T,T,T_T,3,4,
2012,19,42.4856,-71.568522,NA,T,T,T_T,1,4,
2012,20,42.48557,-71.568588,NA,T,T,T_T,4,4,
2012,21,42.485589,-71.568499,NA,T,T,T_T,3,4,check host plant or dorm number typo???
2012,22,42.485557,-71.568592,NA,T,T,T_T,3,4,
2012,23,42.485723,-71.568713,NA,T,P,T_P,1,4,
2012,24,42.485357,-71.571404,NA,T,T,T_T,1,4,
2012,11,42.485309,-71.568775,NA,T,P,T_P,0,4,
2012,12,42.485616,-71.568622,NA,T,T,T_T,0,4,
2012,4,42.485524,-71.56856,NA,T,T,T_T,0,4,host depleted; DROP
2012,17,42.485548,-71.568584,NA,T,T,T_T,0,4,
