"","path_id","site","observer","pop","mon_id","sex","wear","f","s","n","o","obstime","prop_n","logit_n"
"1","b","sedge","am","wild","","f",3,2,66,0,0,68,0,-3.66356164612965
"2","bb","charles","am","wild","CR2","m",2,10,78,17,0,105,0.161904761904762,-1.52443396117271
"3","bbb","charles","aw","wild","cr-12","m",2,3,57,0,0,60,0,-3.66356164612965
"4","bbg","charles","am","wild","cr-13","m",1,4,0,0,0,4,0,-3.66356164612965
"5","bbr","charles","aw","wild","cr-14","m",2,0,60,0,0,60,0,-3.66356164612965
"6","bbs","charles","aw","wild","cr-15","m",2,6,0,0,0,6,0,-3.66356164612965
"7","bgr","delaney","am","wild","","f",3,16,15,0,0,31,0,-3.66356164612965
"8","bgs","delaney","am","wild","","m",2,1,0,0,0,1,0,-3.66356164612965
"9","bgs","delaney","am","wild","","m",3,1,0,0,0,1,0,-3.66356164612965
"10","bgs","delaney","am","wild","","m",4,1,0,0,0,1,0,-3.66356164612965
"11","bgs","delaney","am","wild","","m",5,1,0,0,0,1,0,-3.66356164612965
"12","bgs","delaney","am","wild","","m",6,1,0,0,0,1,0,-3.66356164612965
"13","bgs","delaney","am","wild","","m",7,0,1,0,0,1,0,-3.66356164612965
"14","bgs","delaney","am","wild","","m",8,0,1,0,0,1,0,-3.66356164612965
"15","br","charles","am","wild","CR4","m",1,4,0,0,0,4,0,-3.66356164612965
"16","br","charles","aw","wild","cr4","m",1,4,0,0,0,4,0,-3.66356164612965
"17","brb","delaney","am","wild","brb","f",3,15,44,0,7,66,0,-3.66356164612965
"18","brg","delaney","am","wild","brg","f",2,1,1,0,0,2,0,-3.66356164612965
"19","brr","delaney","am","wild","","f",3,9,167,2,0,178,0.0112359550561798,-3.2970027069991
"20","brs","charles","aw","wild","brs","m",3,4,168,0,0,172,0,-3.66356164612965
"21","bsb","delaney","am","wild","","f",3,1,0,0,0,1,0,-3.66356164612965
"22","bsb-2","delaney","am","wild","bsb","f",4,6,61,0,0,67,0,-3.66356164612965
"23","bsg","delaney","am","wild","","f",1,1,0,0,0,1,0,-3.66356164612965
"24","bsg","delaney","am","wild","","f",NA,0,96,0,0,96,0,-3.66356164612965
"25","bsr","delaney","am","wild","","m",2,6,54,0,0,60,0,-3.66356164612965
"26","bss","delaney","aw","wild","bss","f",3,8,59,0,3,70,0,-3.66356164612965
"27","bss-2","delaney","am","wild","","f",3,3,0,0,0,3,0,-3.66356164612965
"28","g","sedge","am","wild","","f",1,0,49,0,0,49,0,-3.66356164612965
"29","g","sedge","aw","wild","g","f",1,0,48,0,0,48,0,-3.66356164612965
"30","gbb-1","delaney","am","wild","","f",2,0,179,0,0,179,0,-3.66356164612965
"31","gbb-2","delaney","am","wild","","f",2,15,117,1,6,139,0.00719424460431655,-3.41485138598713
"32","gbg","delaney","am","wild","","f",1,7,89,0,9,105,0,-3.66356164612965
"33","gbr","delaney","aw","wild","gbr","f",NA,2,0,0,0,2,0,-3.66356164612965
"34","gbs-1","delaney","am","wild","","f",4,2,1,0,0,3,0,-3.66356164612965
"35","gg","delaney","am","wild","DY2","f",1,3,20,0,0,23,0,-3.66356164612965
"36","ggb","delaney","am","wild","","m",4,7,53,0,0,60,0,-3.66356164612965
"37","ggg","delaney","aw","wild","ggg","f",4,1,187,0,0,188,0,-3.66356164612965
