year,site,count
1990,MtHebo,1100
1991,MtHebo,2888
1992,MtHebo,2628
1993,MtHebo,1041
1994,MtHebo,2200
1995,MtHebo,3413
1996,MtHebo,2507
1997,MtHebo,2664
1998,MtHebo,2743
1999,MtHebo,4983
2000,MtHebo,2111
2001,MtHebo,1402
2002,MtHebo,2272
2003,MtHebo,2625
2004,MtHebo,588
2005,MtHebo,657
2006,MtHebo,2624
2007,MtHebo,1473
2008,MtHebo,1452
2009,MtHebo,1411
2010,MtHebo,1334
2011,MtHebo,1377
2012,MtHebo,3091
2013,MtHebo,1489
2014,MtHebo,582
2015,MtHebo,120
2016,MtHebo,461
2017,MtHebo,379
2018,MtHebo,764
1990,CascadeHead,1138
1991,CascadeHead,790
1992,CascadeHead,1295
1993,CascadeHead,184
1994,CascadeHead,284
1995,CascadeHead,302
1996,CascadeHead,302
1997,CascadeHead,164
1998,CascadeHead,57
1999,CascadeHead,132
2000,CascadeHead,160
2001,CascadeHead,118
2002,CascadeHead,34
2003,CascadeHead,206
2004,CascadeHead,36
2005,CascadeHead,147
2006,CascadeHead,130
2007,CascadeHead,686
2008,CascadeHead,521
2009,CascadeHead,1420
2010,CascadeHead,610
2011,CascadeHead,643
2012,CascadeHead,103
2013,CascadeHead,88
2014,CascadeHead,87
2015,CascadeHead,20
2016,CascadeHead,13
2017,CascadeHead,9
2018,CascadeHead,5
1990,BrayPoint,169
1991,BrayPoint,280
1992,BrayPoint,265
1993,BrayPoint,81
1994,BrayPoint,81
1995,BrayPoint,53
1996,BrayPoint,146
1997,BrayPoint,101
1998,BrayPoint,46
1999,BrayPoint,2
2000,BrayPoint,9
2001,BrayPoint,0
2002,BrayPoint,2
2003,BrayPoint,3
2004,BrayPoint,2
2005,BrayPoint,0
2006,BrayPoint,0
2007,BrayPoint,21
2008,BrayPoint,82
2009,BrayPoint,124
2010,BrayPoint,140
2011,BrayPoint,204
2012,BrayPoint,56
2013,BrayPoint,3
2014,BrayPoint,7
2015,BrayPoint,3
2016,BrayPoint,NA
2017,BrayPoint,0
2018,BrayPoint,4
1990,RockCreek,142
1991,RockCreek,113
1992,RockCreek,242
1993,RockCreek,35
1994,RockCreek,65
1995,RockCreek,374
1996,RockCreek,356
1997,RockCreek,332
1998,RockCreek,257
1999,RockCreek,149
2000,RockCreek,108
2001,RockCreek,192
2002,RockCreek,139
2003,RockCreek,136
2004,RockCreek,131
2005,RockCreek,55
2006,RockCreek,25
2007,RockCreek,202
2008,RockCreek,219
2009,RockCreek,423
2010,RockCreek,426
2011,RockCreek,352
2012,RockCreek,251
2013,RockCreek,302
2014,RockCreek,199
2015,RockCreek,158
2016,RockCreek,115
2017,RockCreek,82
2018,RockCreek,45
