ID,Year,sex,wt,finhost,Dorm,Dorm2
2012-06-21-03-04,2012,M,0.177,P,3,03_2012
2012-06-21-06-02,2012,M,0.36,P,6,06_2012
2012-06-21-10-06,2012,M,0.148,T,10,10_2012
2012-06-21-16-03,2012,M,0.308,P,16,16_2012
2012-06-21-18-01,2012,M,0.22,T,18,18_2012
2012-06-21-22-05,2012,M,0.2,T,22,22_2012
2012-06-22-02-02,2012,M,0.167,P,2,02_2012
2012-06-22-09-01,2012,M,0.236,P,9,09_2012
2012-06-22-13-03,2012,F,0.225,P,13,13_2012
2012-06-22-18-04,2012,M,0.155,T,18,18_2012
2012-06-23-01-01,2012,F,0.355,T,1,01_2012
2012-06-23-15-02,2012,F,0.267,T,15,15_2012
2012-06-23-21-03,2012,M,0.239,T,21,21_2012
2012-06-23-22-04,2012,M,0.217,T,22,22_2012
2012-06-27-01-03,2012,F,0.282,T,1,01_2012
2012-06-27-05-02,2012,F,0.189,P,5,05_2012
2012-06-27-07-09,2012,M,0.117,P,7,07_2012
2012-06-27-09-06,2012,F,0.262,P,9,09_2012
2012-06-27-15-04,2012,M,0.172,T,15,15_2012
2012-06-27-20-07,2012,M,0.16,T,20,20_2012
2012-06-27-20-08,2012,M,0.18,T,20,20_2012
2012-06-27-22-05,2012,F,0.203,T,22,22_2012
2012-06-28-13-01,2012,M,0.288,P,13,13_2012
2012-06-28-13-09,2012,F,0.325,P,13,13_2012
2012-06-28-19-03,2012,M,0.141,T,19,19_2012
2012-06-28-20-04,2012,F,0.402,T,20,20_2012
2012-06-29-06-03,2012,F,0.265,P,6,06_2012
2012-06-29-14-02,2012,M,0.469,P,14,14_2012
2012-06-29-16-01,2012,F,0.402,P,16,16_2012
2012-06-30-02-03,2012,F,0.311,P,2,02_2012
2012-06-30-03-05,2012,M,0.089,P,3,03_2012
2012-06-30-13-06,2012,F,0.296,P,13,13_2012
2012-06-30-21-04,2012,F,0.28,T,21,21_2012
2012-06-30-23-02,2012,F,0.385,P,23,23_2012
2012-07-01-20-01,2012,F,0.367,T,20,20_2012
2012-07-02-18-01,2012,M,0.183,T,18,18_2012
2012-07-02-21-02,2012,F,0.3,T,21,21_2012
2012-07-02-24-03,2012,F,0.301,T,24,24_2012
2012-07-05-08-01,2012,F,0.306,P,8,08_2012
2013-6-21-9-01,2013,M,0.18,T,9,9_2013
2013-6-22-30-4,2013,M,0.17,P,30,30_2013
2013-6-22-33-2,2013,M,0.18,P,33,33_2013
2013-6-22-33-3,2013,F,0.36,P,33,33_2013
2013-6-23-32-5,2013,M,0.12,P,32,32_2013
2013-6-23-9-6,2013,F,0.26,T,9,9_2013
2013-6-24-15-12,2013,F,0.28,P,15,15_2013
2013-6-24-15-13,2013,M,0.16,P,15,15_2013
2013-6-24-23-7,2013,M,0.18,P,23,23_2013
2013-6-24-25-9,2013,M,0.2,T,25,25_2013
2013-6-24-3-14,2013,M,0.15,T,3,3_2013
2013-6-24-30-15,2013,F,0.29,P,30,30_2013
2013-6-24-33-10,2013,M,0.17,P,33,33_2013
2013-6-24-33-11,2013,M,0.17,P,33,33_2013
2013-6-24-33-8,2013,M,0.22,P,33,33_2013
2013-6-25-10-35,2013,M,0.14,T,10,10_2013
2013-6-25-12-21,2013,M,0.18,T,12,12_2013
2013-6-25-12-25,2013,F,0.33,T,12,12_2013
2013-6-25-15-30,2013,M,0.19,P,15,15_2013
2013-6-25-18-31,2013,M,0.16,P,18,18_2013
2013-6-25-27-16,2013,M,0.2,T,27,27_2013
2013-6-25-3-19,2013,M,0.18,T,3,3_2013
2013-6-25-3-29,2013,M,0.19,T,3,3_2013
2013-6-25-32-26,2013,M,0.16,P,32,32_2013
2013-6-25-36-17,2013,M,0.2,T,36,36_2013
2013-6-25-36-32,2013,M,0.27,T,36,36_2013
2013-6-25-37-28,2013,F,0.37,P,37,37_2013
2013-6-25-4-20,2013,F,0.35,T,4,4_2013
2013-6-25-4-24,2013,F,0.39,T,4,4_2013
2013-6-25-4-33,2013,M,0.22,T,4,4_2013
2013-6-25-40-34,2013,M,0.17,T,40,40_2013
2013-6-25-41-18,2013,M,0.17,P,41,41_2013
2013-6-25-43-27,2013,M,0.19,P,43,43_2013
2013-6-25-47-22,2013,M,0.16,P,47,47_2013
2013-6-25-47-23,2013,F,0.35,P,47,47_2013
2013-6-26-10-46,2013,F,0.28,T,10,10_2013
2013-6-26-16-44,2013,M,0.17,P,16,16_2013
2013-6-26-18-45,2013,M,0.2,P,18,18_2013
2013-6-26-23-36,2013,M,0.16,P,23,23_2013
2013-6-26-27-41,2013,M,0.23,T,27,27_2013
2013-6-26-27-47,2013,M,0.19,T,27,27_2013
2013-6-26-32-42,2013,M,0.24,P,32,32_2013
2013-6-26-37-38,2013,M,0.2,P,37,37_2013
2013-6-26-37-39,2013,M,0.25,P,37,37_2013
2013-6-26-4-37,2013,M,0.26,T,4,4_2013
2013-6-26-41-40,2013,F,0.33,P,41,41_2013
